title,company,location,type,skills_required,salary_min,salary_max,category
Principal Supply Chain Analyst,Brambleton Trust Group,Remote,Full-time,"Contract Negotiation, Budgeting & Forecasting, Risk Management, Business Development, Data-Driven Decision Making, Cost-Benefit Analysis, NetSuite",176540,190442,Business Operations
Financial Planning Analyst,Onyx Trust Group,"Sydney, Australia",Full-time,"P&L Management, Financial Analysis, Data-Driven Decision Making, Business Development, Vendor Management, Pricing Strategy",74870,85752,"Business, Finance & Analytics"
Senior Revenue Analyst,Lakeshore Holdings,"Chicago, IL",Full-time,"Investment Analysis, Accounting Principles, Pricing Strategy, P&L Management, Risk Management, SAP, KPI Development, Cost-Benefit Analysis",108543,119896,"Business, Finance & Analytics"
Senior Data Analyst,Elmgate Advisory Group,"New York, NY",Full-time,"Salesforce, Contract Negotiation, Financial Modeling, QuickBooks, Excel, Pricing Strategy, Cost-Benefit Analysis, Excel Financial Modeling",124722,141589,Data & Analytics
Bookkeeper,Pinecrest Advisory Group,"Austin, TX",Full-time,"Excel, Accounting Principles, Business Development, Investment Analysis, Agile Methodology, Contract Negotiation",78722,92112,"Business, Finance & Analytics"
Risk Manager,Fernbrook Solutions Group,"Atlanta, GA",Full-time,"Budgeting & Forecasting, Risk Management, Financial Analysis, Contract Negotiation, SAP, Business Development, Investment Analysis, Procurement",94236,106137,"Business, Finance & Analytics"
Controller,Oakhaven Accounting Partners,"Atlanta, GA",Full-time,"Investment Analysis, Excel Financial Modeling, Supply Chain Analysis, Business Development, P&L Management, Vendor Management, Pricing Strategy, Competitive Intelligence",98688,104700,"Business, Finance & Analytics"
Senior Staff Accountant,Oakhaven Investment Partners,"Chicago, IL",Full-time,"Contract Negotiation, Excel, Vendor Management, NetSuite",98681,118667,"Business, Finance & Analytics"
Junior Internal Auditor,Highfield Investment Partners,"Austin, TX",Full-time,"Pricing Strategy, Budgeting & Forecasting, QuickBooks, Accounting Principles, P&L Management, Data-Driven Decision Making, Contract Negotiation, Excel Financial Modeling",71306,75447,"Business, Finance & Analytics"
Lead Revenue Analyst,Foxglen Advisory Group,"San Francisco, CA",Full-time,"Procurement, Business Development, Risk Management, Investment Analysis, Vendor Management, Negotiation, SQL, SAP",162567,169175,"Business, Finance & Analytics"
Internal Auditor,Ironwood Financial Group,Remote,Full-time,"P&L Management, Pricing Strategy, Cost-Benefit Analysis, Financial Analysis, Business Development, SAP",90138,95657,"Business, Finance & Analytics"
Junior Business Intelligence Analyst,Brambleton Solutions Group,"Toronto, ON",Full-time,"Data-Driven Decision Making, Contract Negotiation, Communication, Risk Management, KPI Development, Tableau, Accounting Principles, Pricing Strategy",69902,76374,Data & Analytics
Supply Chain Analyst,Ashford Advisory Group,Remote,Full-time,"Excel, Data-Driven Decision Making, Supply Chain Analysis, Investment Analysis, Pricing Strategy, Risk Management, SAP",86305,91712,Business Operations
Pricing Analyst,Brambleton Solutions Group,"Chicago, IL",Full-time,"Investment Analysis, Contract Negotiation, Pricing Strategy, Time Management",76784,89762,"Business, Finance & Analytics"
Finance Manager,Thornwood Ledger Co.,"Denver, CO",Part-time,"Cost-Benefit Analysis, SAP, Contract Negotiation, Procurement, Investment Analysis",82928,90885,"Business, Finance & Analytics"
Staff Financial Planning Analyst,Oakhaven Accounting Partners,"Atlanta, GA",Full-time,"ACCOUNTING PRINCIPLES, P&L Management, KPI Development, SAP, Budgeting & Forecasting, Supply Chain Analysis",163460,174218,"Business, Finance & Analytics"
Principal Bookkeeper,Highfield Investment Partners,"London, UK",Full-time,"Supply Chain Analysis, SAP, Accounting Principles, Competitive Intelligence, Investment Analysis, Data-Driven Decision Making",153930,165488,"Business, Finance & Analytics"
Junior Investment Analyst,Onyx Solutions Group,"Chicago, IL",Full-time,"P&L Management, Investment Analysis, Pricing Strategy, Procurement, NetSuite, Competitive Intelligence",59353,64436,"Business, Finance & Analytics"
Business Intelligence Analyst Intern,Ironwood Financial Group,"San Francisco, CA",Internship,"Cost-Benefit Analysis, Budgeting & Forecasting, Contract Negotiation, Risk Management",26354,34134,Data & Analytics
Financial Analyst,Redwood Advisory Group,"San Francisco, CA",Contract,"Financial Analysis, QuickBooks, SAP, Cost-Benefit Analysis, Data-Driven Decision Making, P&L Management",95032,103147,"Business, Finance & Analytics"
Junior Business Analyst,Rivergate Wealth Partners,"New York, NY",Full-time,"Supply Chain Analysis, Time Management, Accounting Principles, Data-Driven Decision Making",57807,63377,"Business, Finance & Analytics"
Senior Data Analyst,Brambleton Solutions Group,"Seattle, WA",Full-time,"Financial Analysis, Investment Analysis, Contract Negotiation, Accounting Principles, Cost-Benefit Analysis, Financial Modeling, KPI Development, Excel",134737,143668,Data & Analytics
Financial Analyst,Oakhaven Accounting Partners,Remote,Full-time,"Business Development, P&L Management, SAP, Git, Pricing Strategy",91294,99483,"Business, Finance & Analytics"
Staff Accountant,Palisade Investment Partners,"Charlotte, NC",Full-time,"Supply Chain Analysis, Data-Driven Decision Making, Accounting Principles, Competitive Intelligence, Cost-Benefit Analysis, Vendor Management, P&L Management",79727,87914,"Business, Finance & Analytics"
Procurement Analyst,Oakhaven Accounting Partners,"Austin, TX",Part-time,"NetSuite, Competitive Intelligence, Budgeting & Forecasting, Stakeholder Management",97001,108339,"Business, Finance & Analytics"
Senior Financial Planning Analyst,Skyline Consulting,"Chicago, IL",Part-time,"Critical Thinking, Excel Financial Modeling, Business Development, SAP, NetSuite, Contract Negotiation",126460,141050,"Business, Finance & Analytics"
Staff Accountant,Palisade Ventures,"Boston, MA",Full-time,"KPI Development, Investment Analysis, NetSuite, Risk Management",96488,102237,"Business, Finance & Analytics"
Revenue Analyst Intern,Redwood Financial Group,Remote,Internship,"Negotiation, Financial Analysis, Contract Negotiation, Cost-Benefit Analysis, Data-Driven Decision Making, NetSuite",36897,43565,"Business, Finance & Analytics"
Auditor Intern,Redwood Capital Group,"New York, NY",Internship,"Business Development, Vendor Management, Competitive Intelligence, Cost-Benefit Analysis, Risk Management, Supply Chain Analysis, NetSuite",27314,33023,"Business, Finance & Analytics"
Senior Compliance Analyst,Onyx Strategy Group,"Austin, TX",Full-time,"NetSuite, Budgeting & Forecasting, Risk Management, Accounting Principles",113365,133252,"Business, Finance & Analytics"
Principal Financial Analyst,Hollowbrook Wealth Partners,"Denver, CO",Full-time,"Procurement, QuickBooks, Accounting Principles, Data-Driven Decision Making, Problem Solving, Excel Financial Modeling, Vendor Management",171583,178499,"Business, Finance & Analytics"
Principal Operations Analyst,Highfield Financial Group,"New York, NY",Contract,"Financial Analysis, Vendor Management, Budgeting & Forecasting, NetSuite, Competitive Intelligence",179379,192094,Business Operations
Senior Financial Analyst,Summit Solutions Group,"Dallas, TX",Full-time,"KPI Development, Data-Driven Decision Making, Excel Financial Modeling, Accounting Principles, Agile Methodology, Business Development",124350,142413,"Business, Finance & Analytics"
Bookkeeper Intern,Sterling Financial Partners,"London, UK",Internship,"Supply Chain Analysis, NetSuite, Financial Analysis, Risk Management, P&L Management, KPI Development, Contract Negotiation, Data-Driven Decision Making",31932,37212,"Business, Finance & Analytics"
Operations Analyst Intern,Harborline Holdings,Remote,Internship,"Procurement, Risk Management, Investment Analysis, Competitive Intelligence",32793,38822,Business Operations
Staff Payroll Specialist,Wrenfield & Associates,"Dallas, TX",Full-time,"Excel Financial Modeling, Business Development, KPI Development, Accounting Principles, Procurement, Financial Analysis, Excel",137224,148881,"Business, Finance & Analytics"
Pricing Analyst Intern,Granite Bridge Capital,Remote,Internship,"Budgeting & Forecasting, Competitive Intelligence, Excel Financial Modeling, Risk Management, Investment Analysis, Vendor Management, Accounting Principles",29185,35716,"Business, Finance & Analytics"
Procurement Analyst Manager,Skyline Strategy Group,Remote,Full-time,"Risk Management, Cost-Benefit Analysis, SAP, Excel Financial Modeling, Competitive Intelligence",130487,140458,"Business, Finance & Analytics"
Treasury Analyst,Oakhaven Consulting,"Charlotte, NC",Full-time,"QuickBooks, P&L Management, Data-Driven Decision Making, Cost-Benefit Analysis, Agile Methodology",86217,97447,"Business, Finance & Analytics"
Internal Auditor,Highfield Solutions Group,Remote,Full-time,"QuickBooks, Pricing Strategy, Financial Analysis, Accounting Principles, Cost-Benefit Analysis, Procurement",93845,103502,"Business, Finance & Analytics"
Accountant Manager,Palisade Holdings,Remote,Full-time,"NetSuite, Excel Financial Modeling, Pricing Strategy, Accounting Principles, Contract Negotiation, P&L Management, Budgeting & Forecasting, Investment Analysis",132592,148259,"Business, Finance & Analytics"
Junior Tax Analyst,Brightpath Financial Services,"Seattle, WA",Full-time,"NetSuite, Excel, Pricing Strategy, Financial Analysis, Risk Management, Negotiation",67140,72809,"Business, Finance & Analytics"
Accounting Manager,Kestrel Asset Management,"New York, NY",Full-time,"QuickBooks, Cost-Benefit Analysis, Contract Negotiation, SAP, Excel Financial Modeling, Financial Analysis, Risk Management, Vendor Management",92741,101928,"Business, Finance & Analytics"
Junior Controller,Thornwood Insights,Remote,Part-time,"Accounting Principles, Procurement, Cost-Benefit Analysis, Supply Chain Analysis, Financial Analysis, Investment Analysis, Data-Driven Decision Making, Time Management",58076,66628,"Business, Finance & Analytics"
Controller,Silverbrook Financial Group,"Sydney, Australia",Full-time,"Competitive Intelligence, Contract Negotiation, Budgeting & Forecasting, SAP, Critical Thinking",82369,95483,"Business, Finance & Analytics"
Lead Procurement Analyst,Summit Solutions Group,"Dallas, TX",Full-time,"Vendor Management, Competitive Intelligence, Cost-Benefit Analysis, NetSuite, Time Management",160387,175264,"Business, Finance & Analytics"
Data Analyst,Summit Advisory Group,Remote,Full-time,"Financial Analysis, Investment Analysis, Vendor Management, Cost-Benefit Analysis, QuickBooks, P&L Management",83735,97599,Data & Analytics
Financial Planning Analyst Intern,Harborline Holdings,"Chicago, IL",Internship,"Business Development, Data-Driven Decision Making, Accounting Principles, Excel Financial Modeling, NetSuite, SAP, Procurement, Budgeting & Forecasting",31571,37239,"Business, Finance & Analytics"
Financial Analyst Intern,Northfield Ventures,"London, UK",Internship,"Procurement, Competitive Intelligence, Excel Financial Modeling",32507,39980,"Business, Finance & Analytics"
Junior Financial Analyst,Pinecrest Consulting,"Chicago, IL",Full-time,"Accounting Principles, Financial Analysis, Budgeting & Forecasting, KPI Development, Procurement, Excel Financial Modeling",59321,68066,"Business, Finance & Analytics"
