title,company,location,type,skills_required,salary_min,salary_max,category
Senior Business Intelligence Analyst,Ironwood Cloud Works,"Sydney, Australia",Part-time,"Data Modeling, Metabase, Tableau, Excel VBA",129502,146651,Data & Analytics
Junior Machine Learning Engineer,Vertex Vector Works,Remote,Full-time,"Scikit-learn, Deep Learning, Python, Scrum, Kubernetes, Model Interpretability (SHAP/LIME)",67166,75577,Data & Analytics
Senior NLP Engineer,Onyx Digital Digital,"Los Angeles, CA",Full-time,"Natural Language Processing, Large Language Models, Deep Learning, Python",121505,144965,Data & Analytics
Analytics Engineering Manager,Lumen Insight Digital,"Boston, MA",Full-time,"Team Leadership, Data Warehousing, SQL",136499,149116,Data & Analytics
Intern Data Analyst,Palisade Bridge Ventures,"Seattle, WA",Internship,"SQL, Amplitude, Data Visualization, Excel, Power BI",28601,37897,Data & Analytics
Intern Data Scientist,Ashgrove Stream Systems,Remote,Internship,"Data Visualization, Python, Statistical Modeling, A/B Testing, Time Series Analysis, Jira, PyTorch",28534,37842,Data & Analytics
Mid-level Computer Vision Engineer,Basecamp Quantum Works,"Sydney, Australia",Contract,"Computer Vision, MLOps, Feature Engineering, Deep Learning, Time Management, PyTorch, Machine Learning, Docker",86055,103222,Data & Analytics
Intern Analytics Engineer,Cinderpeak Grid Analytics,"Seattle, WA",Internship,"Data Quality Management, Business Intelligence, SQL, Problem Solving, dbt",31470,35526,Data & Analytics
Senior Machine Learning Engineer,Palisade Vector Group,"Boston, MA",Full-time,"Reinforcement Learning, Python, Scikit-learn, Vector Embeddings, XGBoost",127995,149582,Data & Analytics
Junior Quantitative Analyst,Ironwood Cloud Works,"Washington, DC",Full-time,"Machine Learning, Statistics, Financial Modeling, Statistical Modeling, Time Series Analysis, Predictive Analytics, Python",68903,74443,Data & Analytics
Analytics Engineering Manager,Redwood Digital Analytics,Remote,Full-time,"Communication, Roadmap Planning, Data Warehousing, Team Leadership",142390,174574,Data & Analytics
Junior Computer Vision Engineer,Pinecrest Quantum Systems,Remote,Part-time,"Jira, Python, MLOps, Deep Learning, Feature Engineering",68058,74589,Data & Analytics
Mid-level MLOps Engineer,Onyx Bridge Tech,"Sydney, Australia",Full-time,"Critical Thinking, Microsoft Azure, Apache Airflow, Amazon Web Services, MLOps, CI/CD Pipelines",102248,115735,Data & Analytics
"Mid-level Research Scientist, AI",Skyline Data Robotics Group,"San Francisco, CA",Full-time,"Reinforcement Learning, PyTorch, Statistics, Agile Methodology",88663,100602,Data & Analytics
Mid-level Machine Learning Engineer,Northfield Cloud IT,"Berlin, Germany",Full-time,"Deep Learning, Cross-functional Collaboration, Scikit-learn, TensorFlow",95715,105528,Data & Analytics
Mid-level NLP Engineer,Crestline Bridge Analytics,"Dublin, Ireland",Full-time,"Statistics, Hugging Face Transformers, Prompt Engineering, Critical Thinking, Natural Language Processing, Deep Learning, Large Language Models",91197,106491,Data & Analytics
Mid-level Computer Vision Engineer,Nova Field Tech,"Sydney, Australia",Full-time,"Deep Learning, TensorFlow, Computer Vision, Cross-functional Collaboration, Machine Learning, OpenCV, Feature Engineering",96056,115725,Data & Analytics
Analytics Engineering Manager,Starling Bridge Digital,"Toronto, ON",Full-time,"Data Warehousing, Roadmap Planning, Team Leadership,  SQL , Critical Thinking",133609,166429,Data & Analytics
Junior Data Scientist,Cinderpeak Systems Group,"Berlin, Germany",Full-time,"Pandas, Scikit-learn, Machine Learning, Time Series Analysis, Python, Data Visualization, Scrum, TensorFlow",60632,66554,Data & Analytics
Intern Data Engineer,Starling Field Group,"Sydney, Australia",Internship,"Python, ETL Pipelines, Big Data",23533,31663,Data & Analytics
Mid-level AI Research Engineer,Fernwood Bridge Works,"New York, NY",Full-time,"Statistics, Generative AI, Natural Language Processing",91016,104705,Data & Analytics
Intern Data Analyst,Crestline Quantum Partners,"Austin, TX",Internship,"Mixpanel, Power BI, Statistics, Excel, SQL",27669,38056,Data & Analytics
Lead Computer Vision Engineer,Ironwood Cloud Works,Remote,Full-time,"Computer Vision, Feature Engineering, PyTorch, Critical Thinking",143595,165331,Data & Analytics
Junior Machine Learning Engineer,Ashgrove Metrics Tech,"Dublin, Ireland",Part-time,"PyTorch, Vector Embeddings, Kubernetes, Python, Model Interpretability (SHAP/LIME), Machine Learning, Scikit-learn",60634,73993,Data & Analytics
Junior NLP Engineer,Onyx Bridge Tech,Remote,Full-time,"PyTorch, Deep Learning, Generative AI, Vector Embeddings, Python",70547,82478,Data & Analytics
Senior MLOps Engineer,Pinecrest Metrics Partners,"Toronto, ON",Part-time,"CI/CD Pipelines, Kubernetes, Google Cloud Platform, Scrum",136849,159352,Data & Analytics
Senior Data Engineer,Onyx Digital Digital,"Austin, TX",Part-time,"dbt, Redshift, Apache Airflow, Apache Kafka, ETL Pipelines",136524,149544,Data & Analytics
Junior AI Research Engineer,Bluepeak Neural Works,"Boston, MA",Full-time,"Large Language Models, Generative AI, Vector Embeddings, Prompt Engineering, Reinforcement Learning",64437,76431,Data & Analytics
Mid-level Quantitative Analyst,Silverlake Grid Analytics,"Boston, MA",Full-time,"SQL, R, Statistics, Financial Modeling, Statistical Modeling, Python",88224,99508,Data & Analytics
Mid-level NLP Engineer,Fernwood Grid Studio,"Boston, MA",Full-time,"Python, Deep Learning, Natural Language Processing, Hugging Face Transformers",85023,103189,Data & Analytics
Data Science Manager,Starling Cloud Works,Remote,Full-time,"Statistics, Machine Learning, Stakeholder Management, Roadmap Planning",132424,157596,Data & Analytics
Intern Machine Learning Engineer,Starling Field IT,"Atlanta, GA",Internship,"XGBoost, Docker, TensorFlow, Feature Engineering, Reinforcement Learning",30054,41286,Data & Analytics
Mid-level MLOps Engineer,Starling Cloud Works,Singapore,Full-time,"Kubernetes, Communication, Python, Docker, CI/CD Pipelines",101147,116220,Data & Analytics
Analytics Engineering Manager,Palisade Vector Group,Remote,Full-time,"Data Warehousing, Data Governance, Stakeholder Management, dbt, SQL",137685,150424,Data & Analytics
Data Science Manager,Cascadia Data Ventures,Remote,Full-time,"Data Analysis, Stakeholder Management, Communication, Statistics, Machine Learning, Team Leadership, Roadmap Planning",131166,143662,Data & Analytics
Intern Data Analyst,Palisade Vector Group,"Chicago, IL",Internship,"Tableau, statistics, data visualization, SQL, Data Analysis",25469,36915,Data & Analytics
Junior Data Analyst,Redwood Digital Analytics,Remote,Full-time,"Data Visualization, A/B Testing, GOOGLE ANALYTICS, Tableau",70252,83327,Data & Analytics
Junior NLP Engineer,Crestline Compute IT,Remote,Full-time,"Deep Learning, PyTorch, Hugging Face Transformers",64224,78883,Data & Analytics
"Senior Research Scientist, AI",Copperfield Pattern Systems,Remote,Part-time,"Computer Vision, Reinforcement Learning, Deep Learning, Statistics, Generative AI",127038,153509,Data & Analytics
"Mid-level Research Scientist, AI",Northfield Neural Group,"Berlin, Germany",Full-time,"Statistics, PyTorch, Problem Solving, Deep Learning, Reinforcement Learning",88596,101923,Data & Analytics
Mid-level Machine Learning Engineer,Cascadia Compute Ventures,"Los Angeles, CA",Part-time,"Docker, PyTorch, Deep Learning",94381,112267,Data & Analytics
Mid-level NLP Engineer,Windward Vector Partners,"New York, NY",Part-time,"Natural Language Processing, Large Language Models, Python, Generative AI, Hugging Face Transformers",97997,113803,Data & Analytics
Analytics Engineering Manager,Silverlake Data Robotics Group,Singapore,Full-time,"Data Modeling, SQL, Critical Thinking, Roadmap Planning, Data Warehousing",139885,161775,Data & Analytics
Lead Data Scientist,Onyx Metrics Digital,Remote,Full-time,"Data Visualization, TensorFlow, Predictive Analytics, Statistical Modeling, Data Analysis, Time Series Analysis, Jira, Statistics",146946,164354,Data & Analytics
"Mid-level Research Scientist, AI",Silverlake Data Robotics Group,"Toronto, ON",Full-time,"Python, Generative AI, PyTorch, Deep Learning, Natural Language Processing",86792,97833,Data & Analytics
Senior Quantitative Analyst,Bluepeak Insight Digital,"Amsterdam, Netherlands",Full-time,"Python, Time Series Analysis, Machine Learning, Statistics, Sql, R",122191,145286,Data & Analytics
Junior Analytics Engineer,Bluepeak Neural Works,"Seattle, WA",Contract,"dbt, Time Management, Snowflake, BigQuery, Python, Data Quality Management, Power BI, Data Warehousing",72046,80889,Data & Analytics
Lead AI Research Engineer,Northfield Cloud IT,"Atlanta, GA",Part-time,"PyTorch, Prompt Engineering, Technical Writing, Hugging Face Transformers, Statistics, Natural Language Processing",144617,162769,Data & Analytics
Intern Data Analyst,Pinecrest Quantum Systems,Remote,Internship,"Tableau, SQL, Amplitude",30950,40639,Data & Analytics
Mid-level Data Analyst,Onyx Bridge Tech,Remote,Part-time,"Excel, Data Visualization, Tableau, Critical Thinking",88190,95871,Data & Analytics
Mid-level Data Analyst,Onyx Vector Systems,"Vancouver, BC",Full-time,"Tableau, Data Visualization, Data Analysis, Excel",91665,105840,Data & Analytics
"Mid-level Research Scientist, AI",Onyx Signal Collective,"Vancouver, BC",Part-time,"Prompt Engineering, Reinforcement Learning, Generative AI, Deep Learning",98869,119605,Data & Analytics
Senior Computer Vision Engineer,Lumen Field IT,"Bangalore, India",Contract,"MLOps, Docker, Python, Machine Learning, Problem Solving, Computer Vision, Feature Engineering",117728,138324,Data & Analytics
Junior Quantitative Analyst,Onyx Digital Digital,"Toronto, ON",Part-time,"Machine Learning, Financial Modeling, R, SQL, Predictive Analytics, Statistical Modeling, Python",63118,69128,Data & Analytics
Senior Data Engineer,Harborline Digital Analytics,"Toronto, ON",Full-time,"ETL Pipelines, Apache Airflow, SQL, Data Pipeline Design, Databricks",130521,152315,Data & Analytics
Lead NLP Engineer,Granite Pattern Systems,Remote,Full-time,"Agile Methodology, Large Language Models, Statistics, Hugging Face Transformers, Natural Language Processing, Python",155191,166354,Data & Analytics
Junior Business Intelligence Analyst,Cascadia Data Ventures,Remote,Full-time,"Data Modeling, Tableau, Power BI, SQL, Problem Solving",64738,75787,Data & Analytics
Mid-level Computer Vision Engineer,Onyx Bridge Tech,"Los Angeles, CA",Full-time,"Deep Learning, COMPUTER VISION, TensorFlow, Python, MLOps",102294,120070,Data & Analytics
Data Science Manager,Ironwood Metrics Digital,"New York, NY",Full-time,"Team Leadership, Predictive Analytics, Data Analysis, Stakeholder Management, Roadmap Planning, Machine Learning",140080,158109,Data & Analytics
Data Science Manager,Fernwood Metrics Software,"San Francisco, CA",Contract,"Data Analysis, Predictive Analytics, SQL, Team Leadership",147732,165819,Data & Analytics
Senior Data Analyst,Silverlake Vector Studio,"Sydney, Australia",Part-time,"Google Analytics, Statistics, Power BI, Data Visualization",129917,144305,Data & Analytics
Intern Analytics Engineer,Cinderpeak Grid Analytics,Singapore,Internship,"Data Modeling, Data Warehousing, Python, Data Quality Management, Business Intelligence, BigQuery, Snowflake",30518,42471,Data & Analytics
Junior Quantitative Analyst,Onyx Vector Systems,"Atlanta, GA",Full-time,"Statistics, SQL, R, Python",60499,73959,Data & Analytics
Mid-level Data Engineer,Cinderpeak Systems Group,"Boston, MA",Full-time,"Python, BigQuery, ETL Pipelines, Data Warehousing",93995,114334,Data & Analytics
"Principal Research Scientist, AI",Starling Field Group,"Los Angeles, CA",Contract,"Large Language Models, Computer Vision, Reinforcement Learning, PyTorch, Natural Language Processing",167692,189103,Data & Analytics
Intern Data Scientist,Windward Data Tech,"Chicago, IL",Internship,"PyTorch, Jira, SQL, Data Visualization, Jupyter, R, NumPy",31274,40286,Data & Analytics
"Lead Research Scientist, AI",Starling Digital Ventures,"Atlanta, GA",Full-time,"Generative AI, Reinforcement Learning, Natural Language Processing, Statistics",161934,171547,Data & Analytics
Junior Computer Vision Engineer,Lumen Field IT,"Sydney, Australia",Full-time,"Docker, TensorFlow, Feature Engineering, Computer Vision, Machine Learning, Python, Deep Learning, OpenCV",66792,72245,Data & Analytics
Data Science Manager,Granite Compute IT,"Seattle, WA",Full-time,"Machine Learning, Statistics, Stakeholder Management, Roadmap Planning, Team Leadership",147604,165444,Data & Analytics
Lead AI Research Engineer,Granite Digital Group,Remote,Full-time,"Natural Language Processing, Scrum, Python, Prompt Engineering",157634,180841,Data & Analytics
Mid-level Business Intelligence Analyst,Northfield Quantum IT,"Toronto, ON",Full-time,"Metabase, data modeling, Power BI, Tableau, SQL",97856,115190,Data & Analytics
"Mid-level Research Scientist, AI",Ashgrove Stream Systems,"Amsterdam, Netherlands",Full-time,"Prompt Engineering, Deep Learning, Large Language Models, Python",91916,105442,Data & Analytics
Lead Analytics Engineer,Amberton Insight Labs,"London, UK",Full-time,"Data Modeling, dbt, Looker, Snowflake",146931,160956,Data & Analytics
Senior MLOps Engineer,Basecamp Quantum IT,"Los Angeles, CA",Contract,"Google Cloud Platform, Apache Airflow, Terraform, Microsoft Azure, MLOps, Docker",131539,153899,Data & Analytics
Mid-level Data Scientist,Onyx Signal Collective,"Austin, TX",Full-time,"TensorFlow, PyTorch, Scikit-learn, Data Visualization, A/B Testing, Python, NumPy",88131,105451,Data & Analytics
Staff NLP Engineer,Lumen Insight Digital,"Washington, DC",Full-time,"Hugging Face Transformers, Deep Learning, Natural Language Processing, Large Language Models, Statistics",169165,191516,Data & Analytics
Mid-level Quantitative Analyst,Granite Digital Group,"Sydney, Australia",Full-time,"Financial Modeling, Statistical Modeling, Time Series Analysis, Predictive Analytics, SQL, Machine Learning",97548,113441,Data & Analytics
Mid-level Data Analyst,Granite Pattern Systems,"Washington, DC",Full-time,"Python, SQL, Data Analysis, Data Visualization, Power BI",88983,98162,Data & Analytics
Data Science Manager,Starling Bridge Digital,"Toronto, ON",Full-time,"Cross-functional Collaboration, Stakeholder Management, Statistics, Data Analysis, SQL, Roadmap Planning, Predictive Analytics",151526,176299,Data & Analytics
Intern Data Analyst,Silverlake Quantum Group,"New York, NY",Internship,"Excel, Mixpanel, Tableau",26547,31613,Data & Analytics
Senior NLP Engineer,Crestline Compute IT,"Atlanta, GA",Full-time,"TensorFlow, Cross-functional Collaboration, Large Language Models, Natural Language Processing, Generative AI",139497,160339,Data & Analytics
Senior Data Scientist,Meridian Signal Group,"Bangalore, India",Full-time,"NumPy, Python, Statistics, Statistical Modeling, PyTorch",115718,142249,Data & Analytics
Junior AI Research Engineer,Cascadia Data Ventures,Remote,Full-time,"Computer Vision, Python, Git, Hugging Face Transformers, Statistics, Vector Embeddings",69825,80451,Data & Analytics
Senior NLP Engineer,Ashgrove Stream Systems,"Denver, CO",Full-time,"Hugging Face Transformers, Prompt Engineering, Problem Solving, Natural Language Processing, Python, Deep Learning",136082,152835,Data & Analytics
Junior Quantitative Analyst,Basecamp Compute Partners,Remote,Full-time,"Time Series Analysis, Statistical Modeling, Python, R, Predictive Analytics, Financial Modeling, Technical Writing",68425,73520,Data & Analytics
Mid-level Data Engineer,Granite Digital Group,"San Francisco, CA",Full-time,"Data Pipeline Design, BigQuery, Databricks, Apache Airflow, Redshift, ETL Pipelines",87876,105505,Data & Analytics
Mid-level Computer Vision Engineer,Basecamp Quantum IT,"Amsterdam, Netherlands",Full-time,"Python, OpenCV, TensorFlow, MLOps, Deep Learning",102381,117340,Data & Analytics
Junior Business Intelligence Analyst,Basecamp Compute Partners,"Bangalore, India",Contract,"Metabase, Power BI, Tableau, Looker, Jira",68764,76315,Data & Analytics
Mid-level NLP Engineer,Windward Field Partners,"Austin, TX",Contract,"Python, Hugging Face Transformers, Deep Learning, Natural Language Processing",93460,111304,Data & Analytics
Senior Computer Vision Engineer,Ashgrove Metrics Tech,"Los Angeles, CA",Full-time,"Docker, MLOps, PyTorch, Machine Learning, TensorFlow",123597,143915,Data & Analytics
"Senior Research Scientist, AI",Silverlake Quantum Group,"Toronto, ON",Full-time,"Prompt Engineering, PyTorch, Computer Vision, Generative AI, Deep Learning, Python, Reinforcement Learning",129816,152141,Data & Analytics
Lead Quantitative Analyst,Crestline Compute IT,"Boston, MA",Part-time,"Financial Modeling, SQL, Python, Statistics",150588,177487,Data & Analytics
Junior Business Intelligence Analyst,Granite Cloud Digital,"Dublin, Ireland",Part-time,"Google Data Studio, Data Modeling, SQL",69761,78669,Data & Analytics
Principal MLOps Engineer,Onyx Signal Collective,"Amsterdam, Netherlands",Full-time,"Kubernetes, CI/CD Pipelines, Microsoft Azure",176128,186812,Data & Analytics
Intern Data Scientist,Crestline Compute IT,Singapore,Internship,"Pandas, SQL, Predictive Analytics, Statistics, Technical Writing",26299,36665,Data & Analytics
Mid-level Computer Vision Engineer,Nova Field Tech,"New York, NY",Full-time,"TensorFlow, Docker, Technical Writing, Python",90235,107469,Data & Analytics
"Mid-level Research Scientist, AI",Palisade Bridge Ventures,Remote,Contract,"Generative AI, Large Language Models, Critical Thinking, Python",99740,117676,Data & Analytics
Junior Business Intelligence Analyst,Harborline Digital Analytics,"New York, NY",Part-time,"Business Intelligence, Google Data Studio, Looker, Excel VBA, Data Governance, Power BI, Data Modeling",72354,83304,Data & Analytics
Data Science Manager,Thornfield Neural IT,Remote,Full-time,"Team Leadership, Statistics, Python, SQL",143651,158733,Data & Analytics
"Staff Research Scientist, AI",Starling Field IT,"Vancouver, BC",Full-time,"PyTorch, Natural Language Processing, Computer Vision, Deep Learning",151758,168710,Data & Analytics
Mid-level Data Scientist,Basecamp Compute Partners,"Vancouver, BC",Full-time,"Statistics, Python, Data Analysis, Predictive Analytics",93098,113294,Data & Analytics
Analytics Engineering Manager,Starling Field IT,Singapore,Full-time,"Data Warehousing, Scrum, SQL, Data Modeling, dbt, Data Governance",135638,163732,Data & Analytics
Mid-level Computer Vision Engineer,Ashgrove Stream Systems,Remote,Full-time,"Docker, PyTorch, Feature Engineering, MLOps, TensorFlow",100336,110395,Data & Analytics
Lead Data Scientist,Basecamp Quantum Works,"Sydney, Australia",Full-time,"Cross-functional Collaboration, Pandas, R, NumPy",151308,163464,Data & Analytics
Junior Business Intelligence Analyst,Onyx Metrics Digital,Remote,Full-time,"SQL, Business Intelligence, Tableau, Looker",69814,84459,Data & Analytics
Junior Computer Vision Engineer,Halcyon Metrics Digital,Remote,Full-time,"Computer Vision, Deep Learning, PyTorch, TensorFlow",64625,72318,Data & Analytics
Mid-level MLOps Engineer,Fernwood Field Robotics Group,Remote,Contract,"Machine Learning, Docker, MLOps, Python, Apache Airflow",98378,112085,Data & Analytics
Junior Data Scientist,Halcyon Grid Software,Remote,Part-time,"TensorFlow, Statistical Modeling, Communication, Data Analysis, Jupyter, Scikit-learn, R, Time Series Analysis",70604,80933,Data & Analytics
Senior MLOps Engineer,Granite Cloud Digital,"Berlin, Germany",Contract,"Terraform, CI/CD Pipelines, AWS, MLOPS, Docker",127589,151238,Data & Analytics
Senior Computer Vision Engineer,Crestline Bridge Analytics,Remote,Part-time,"Python, TensorFlow, PyTorch",118794,140210,Data & Analytics
Senior Data Scientist,Cobalt Field Robotics Group,"Boston, MA",Full-time,"Python, Scikit-learn, Data Analysis",130976,153943,Data & Analytics
Analytics Engineering Manager,Onyx Metrics Digital,"Austin, TX",Full-time,"SQL, Stakeholder Management, dbt, Data Governance, Data Warehousing, Data Modeling, Roadmap Planning",128746,148296,Data & Analytics
Senior Machine Learning Engineer,Ridgeback Cognition Group,"Los Angeles, CA",Full-time,"MLOps, Reinforcement Learning, Model Interpretability (SHAP/LIME), Scikit-learn, Docker, Kubernetes, Critical Thinking",122640,148947,Data & Analytics
Mid-level AI Research Engineer,Brightwell Neural Partners,"Austin, TX",Part-time,"Communication, Prompt Engineering, Generative AI, PyTorch",88446,102043,Data & Analytics
Data Science Manager,Ridgeback Cognition Group,"Vancouver, BC",Full-time,"data analysis, SQL, Python, Stakeholder Management, Statistics, Machine Learning",149370,162488,Data & Analytics
Intern Analytics Engineer,Thornfield Bridge Software,"Seattle, WA",Internship,"Snowflake, Data Warehousing, SQL, Data Quality Management",28109,39349,Data & Analytics
Lead Data Analyst,Granite Quantum Systems,"Toronto, ON",Full-time,"Power BI, Excel, Data Visualization, SQL",161999,171605,Data & Analytics
Junior Quantitative Analyst,Crestline Bridge Analytics,Remote,Full-time,"Financial Modeling, Python, Statistical Modeling, R",72269,86637,Data & Analytics
Intern Machine Learning Engineer,Starling Field Group,"Amsterdam, Netherlands",Internship,"PyTorch, Reinforcement Learning, Python, Scikit-learn, MLOps",23520,30080,Data & Analytics
Analytics Engineering Manager,Silverlake Data Robotics Group,"Toronto, ON",Full-time,"Data Warehousing, Stakeholder Management, Data Modeling, Data Governance, Git, Team Leadership, dbt",132547,158401,Data & Analytics
Senior NLP Engineer,Ironwood Metrics Digital,"San Francisco, CA",Part-time,"Large Language Models, Hugging Face Transformers, Python",138381,163369,Data & Analytics
Lead MLOps Engineer,Ironwood Insight AI,"Los Angeles, CA",Full-time,"Docker, Terraform, Kubernetes, CI/CD Pipelines, Python",141984,160774,Data & Analytics
Junior Quantitative Analyst,Windward Data Tech,Singapore,Full-time,"Time Series Analysis, R, Statistics, Python",72144,86244,Data & Analytics
Principal MLOps Engineer,Redwood Digital Analytics,"Atlanta, GA",Full-time,"Kubernetes, MLOps, Docker, CI/CD Pipelines",171766,189550,Data & Analytics
Senior NLP Engineer,Fernwood Grid Studio,"Toronto, ON",Full-time,"Natural Language Processing, Deep Learning, PyTorch, Large Language Models, Hugging Face Transformers, Vector Embeddings",130796,158112,Data & Analytics
Lead Data Engineer,Halcyon Grid Software,Singapore,Full-time,"Apache Kafka, Data Warehousing, Apache Airflow",152101,170725,Data & Analytics
Intern Machine Learning Engineer,Ridgeback Cognition Group,Remote,Internship,"Machine Learning, Scikit-learn, Apache Spark, Reinforcement Learning, Scrum",31253,40823,Data & Analytics
Mid-level Data Engineer,Silverlake Quantum Group,Singapore,Full-time,"Snowflake, Python, Apache Spark, Redshift",101182,117710,Data & Analytics
Intern Machine Learning Engineer,Halcyon Grid Software,"Toronto, ON",Internship,"Scikit-learn, TensorFlow, Machine Learning, VECTOR EMBEDDINGS, XGBOOST, Cross-functional Collaboration",30489,41949,Data & Analytics
Mid-level MLOps Engineer,Onyx Signal Group,"Chicago, IL",Contract,"MLOps, Kubernetes, Git, Python, CI/CD Pipelines",95784,103751,Data & Analytics
Senior Business Intelligence Analyst,Bluepeak Insight Digital,Remote,Part-time,"Data Modeling, Tableau, SQL, Google Data Studio, Business Intelligence",115193,141476,Data & Analytics
Data Science Manager,Basecamp Compute Partners,"Denver, CO",Contract,"Jira, Python, Statistics, Data Analysis, Predictive Analytics, Machine Learning",150851,168155,Data & Analytics
Intern Machine Learning Engineer,Harborline Cognition Digital,"Chicago, IL",Internship,"Feature Engineering, Machine Learning, PyTorch, XGBoost, Model Interpretability (SHAP/LIME)",30238,36041,Data & Analytics
Data Science Manager,Fernwood Field Robotics Group,"Vancouver, BC",Full-time," Team Leadership , Data Analysis, Communication, Roadmap Planning, Machine Learning, Statistics",135428,167339,Data & Analytics
Mid-level Analytics Engineer,Ironwood Insight AI,"Denver, CO",Full-time,"Power BI, Data Governance, Scrum, Business Intelligence, SQL",98016,114247,Data & Analytics
Senior Machine Learning Engineer,Pinecrest Metrics Partners,"Los Angeles, CA",Full-time,"MLOps, Vector Embeddings, PyTorch",137540,150144,Data & Analytics
Mid-level Data Analyst,Copperfield Compute Labs,"Seattle, WA",Full-time,"Tableau, Data Analysis, Google Analytics, Data Storytelling",87773,101050,Data & Analytics
Junior NLP Engineer,Starling Digital Robotics Group,"Seattle, WA",Full-time,"Hugging Face Transformers, Deep Learning, Python, Communication, Natural Language Processing",62671,70189,Data & Analytics
Staff Data Engineer,Granite Cloud Digital,"New York, NY",Contract,"Redshift, Data Warehousing, Python, SQL, ETL Pipelines",170669,195944,Data & Analytics
Junior Data Engineer,Starling Field IT,Singapore,Full-time,"Big Data, BigQuery, Data Warehousing, ETL Pipelines, Databricks, SQL",66822,74991,Data & Analytics
Lead Analytics Engineer,Crestline Compute IT,"Los Angeles, CA",Part-time,"Data Modeling, Python, SQL, Data Warehousing",147444,167518,Data & Analytics
Junior Data Analyst,Cascadia Data Ventures,Remote,Full-time,"SQL, Data Storytelling, Amplitude, Mixpanel, Power BI",67925,75902,Data & Analytics
Intern Data Engineer,Pinecrest Metrics Partners,"Amsterdam, Netherlands",Internship,"ETL Pipelines, Python, Apache Hadoop, dbt",23620,33148,Data & Analytics
