title,company,location,type,skills_required,salary_min,salary_max,category
Full Stack Developer,Vertex Platforms,"Boston, MA",Full-time,"Kotlin, HTML, Microsoft Azure",76102,106842,Software Engineering
Lead Full Stack Engineer,Amber Platforms,"New York, NY",Contract,"Storybook, Redux, Java, ASP.NET, Docker, NestJS, Jest",148864,166918,Software Engineering
"Engineering Manager, Mobile",Bluepeak Systems,"Chicago, IL",Contract,"Objective-C, Mobile CI/CD, REST API Design",125948,156953,Software Engineering
Backend Engineer,Solstice Systems,"New York, NY",Full-time,"C#, java, Caching Strategies, System Design, Django, Ruby, Spring Boot",84076,104805,Software Engineering
Intern Backend Engineer,Windemere Platforms,"New York, NY",Internship,"Microsoft Azure, gRPC, MySQL, ASP.NET, C#, Event-Driven Architecture",25318,37879,Software Engineering
Lead Mobile Engineer,Marrow Systems,Remote,Full-time,"Kotlin Multiplatform, REST API Design, System Design, Mobile CI/CD",136554,155279,Software Engineering
Software Developer,Crestline Systems,"Washington, DC",Contract,"Ruby on Rails, Accessibility (WCAG), DynamoDB, Figma, gRPC, Flask, Vue.js",78568,97737,Software Engineering
Mobile Developer (Android),Redwood Systems,"Boston, MA",Contract,"Mobile Performance Optimization, App Store Optimization, Kotlin",78688,100206,Software Engineering
Senior Software Engineer,Emberfield Platforms,"Los Angeles, CA",Full-time,"Angular, Storybook, Continuous Integration, FastAPI, HTML",107597,136962,Software Engineering
Junior Mobile Developer (iOS),Gullhaven Platforms,"Raleigh, NC",Full-time,"REST API Design, Swift, Code Review Practices, SwiftUI, Xcode, Mobile App Architecture",60901,79607,Software Engineering
Intern Full Stack Engineer,Cobalt Platforms,"Dublin, Ireland",Internship,"NestJS, CSS, MySQL, Node.js, Ruby, React",25587,39991,Software Engineering
Frontend Engineer,Meridian Platforms,Remote,Full-time,"Next.js, CSS, Accessibility (WCAG), Svelte, Sass, Progressive Web Apps, TypeScript, Responsive Design",77945,104960,Software Engineering
Lead Backend Developer,Timberline Platforms,"New York, NY",Full-time,"Ruby, Go, Ruby on Rails, Microservices Architecture, System Design, DynamoDB, Microsoft Azure",132737,170322,Software Engineering
iOS Engineer,Ashgrove Systems,Remote,Full-time,"Mobile App Architecture, Mobile Performance Optimization, Mobile CI/CD, iOS Development, Swift",77498,107275,Software Engineering
Senior Software Developer,Foxglove Systems,"Washington, DC",Contract,"Spring Boot, JavaScript, HTML, Responsive Design, React, Google Cloud Platform",108531,145798,Software Engineering
Frontend Developer,Bluepeak Platforms,"Boston, MA",Full-time,"Storybook, communication, Vite, JavaScript",87083,106506,Software Engineering
Intern Frontend Engineer,Brightbay Platforms,"New York, NY",Internship,"HTML, Vite, GraphQL Client (Apollo), Angular, Figma, Bootstrap, Svelte, Tailwind CSS",23807,34194,Software Engineering
Software Developer,Onyx Systems,"Atlanta, GA",Full-time,"Bootstrap, Cross-browser Compatibility, Redis, Event-Driven Architecture, C#, Azure, Cassandra, Message Queues (RabbitMQ)",79409,96541,Software Engineering
Intern Software Engineer,Cascadia Platforms,"Chicago, IL",Internship,"Figma, Material UI, Webpack, Express.js, Next.js, Jest, Sass, Scrum",24705,31778,Software Engineering
Junior Frontend Developer,Granite Systems,Singapore,Contract,"Next.js, Angular, Webpack, TypeScript, CSS, Jest, Redux",56102,76277,Software Engineering
Senior Software Developer,Cobalt Systems,"New York, NY",Full-time,"PostgreSQL, Sass, System Design, C#",107889,147671,Software Engineering
Intern Mobile Engineer,Crestline Platforms,Remote,Internship,"Mobile Performance Optimization, Mobile CI/CD, Cross-platform Development, Dart, Mobile App Architecture, Scrum",20317,37566,Software Engineering
Lead Software Engineer,Meridian Platforms,"Denver, CO",Contract,"Material UI, Django, Vite, PostgreSQL",136524,164076,Software Engineering
Lead Mobile Engineer,Timberline Systems,"New York, NY",Full-time,"Mobile CI/CD, Domain-Driven Design, Hexagonal Architecture",132872,166134,Software Engineering
Senior Backend Developer,Emberfield Platforms,"Atlanta, GA",Full-time,"Event-Driven Architecture, Git, Flask, Kubernetes, Python, System Design, Ruby",117592,145748,Software Engineering
Full Stack Engineer,Hollowreach Platforms,"Atlanta, GA",Full-time,"Next.js, DynamoDB, Java, Ruby",90599,107510,Software Engineering
Lead Full Stack Developer,Redwood Systems,"Berlin, Germany",Full-time,"Django, GIT, Progressive Web Apps, Docker, Docker",130008,174859,Software Engineering
Senior Full Stack Engineer,Fernwood Platforms,"Atlanta, GA",Full-time,"Hexagonal Architecture, Svelte, Scrum, Bootstrap",106922,140920,Software Engineering
Mobile Developer (Android),Skyline Platforms,Remote,Full-time,"REST API Design, Agile Methodology, Jetpack Compose, Mobile App Architecture, Android Studio",76897,99499,Software Engineering
Junior Backend Developer,Copperbend Works,"New York, NY",Contract,"CI/CD Pipelines, PostgreSQL, Spring Boot",56673,79371,Software Engineering
Principal Frontend Engineer,Driftwood Systems,"Atlanta, GA",Full-time,"React, Redux, Next.js, Cross-browser Compatibility, Bootstrap, Svelte, Responsive Design",166989,184117,Software Engineering
Junior Full Stack Developer,Pinecrest Systems,"Boston, MA",Full-time,"System Design, Next.js, Ruby, Code Review Practices, DynamoDB, REST API Design, CI/CD Pipelines, Jest",60263,79913,Software Engineering
Senior Mobile Developer (Android),Ashgrove Systems,"Seattle, WA",Full-time,"Jetpack Compose, Team Leadership, Android Studio",110679,145144,Software Engineering
iOS Engineer,Cobalt Systems,"Seattle, WA",Full-time,"Mobile App Architecture, iOS Development, Swift, Xcode",78974,106610,Software Engineering
Lead Android Engineer,Cobalt Platforms,"New York, NY",Full-time,"Mobile CI/CD, Domain-Driven Design, Communication, Kotlin, Android Development, Mobile Performance Optimization, App Store Optimization, Mobile App Architecture",138261,170380,Software Engineering
Junior Software Engineer,Quartzline Systems,"Atlanta, GA",Contract,"Node.js, Ruby on Rails, Django, Redis, Progressive Web Apps, Next.js",58014,76730,Software Engineering
Lead Software Engineer,Cascadia Platforms,Remote,Full-time,"Tailwind CSS, Bootstrap, Sass, System Design, Microservices Architecture",134716,151668,Software Engineering
Staff Mobile Developer (iOS),Nova Platforms,Remote,Full-time,"Swift, REST API Design, App Store Optimization, Xcode, Code Review Practices",155293,173602,Software Engineering
iOS Engineer,Gullhaven Platforms,"Raleigh, NC",Full-time,"Mobile Performance Optimization, App Store Optimization, REST API Design, Swift, Objective-C, SwiftUI, Mobile App Architecture, iOS Development",81357,109761,Software Engineering
Staff Frontend Developer,Meridian Platforms,"Chicago, IL",Full-time,"React, Responsive Design, Tailwind CSS",143616,169564,Software Engineering
Intern Mobile Engineer,Crestline Platforms,"Los Angeles, CA",Internship,"Kotlin Multiplatform, Dart, React Native, Cross-platform Development",21768,39128,Software Engineering
Senior Mobile Developer (Android),Timberline Platforms,"Boston, MA",Full-time,"App Store Optimization, Kotlin, Mobile CI/CD, Android Studio, Mentoring, Push Notifications",107388,144960,Software Engineering
Intern Backend Engineer,Gullhaven Systems,"Boston, MA",Internship,"Event-Driven Architecture, GraphQL, Mentoring, Flask, FastAPI",30260,39697,Software Engineering
Staff Backend Developer,Granite Systems,Remote,Contract,"Ruby, Redis, Mentoring, gRPC",146587,170043,Software Engineering
Senior Full Stack Developer,Wrenfield Systems,"Washington, DC",Full-time,"Tailwind CSS, Code Review Practices, DynamoDB, FastAPI, Django",119452,143625,Software Engineering
Intern Backend Engineer,Nova Platforms,"Austin, TX",Internship,"Kubernetes, Express.js, CI/CD Pipelines, Caching Strategies",27856,38705,Software Engineering
Lead Backend Developer,Cascadia Platforms,"Atlanta, GA",Full-time,"NestJS, Mentoring, FastAPI",136405,174338,Software Engineering
Staff Mobile Developer (Android),Skyline Systems,Remote,Full-time,"Push Notifications, App Store Optimization, Team Leadership, Domain-Driven Design, Mobile CI/CD, Continuous Integration, REST API Design",144189,169363,Software Engineering
Junior Mobile Developer (Android),Northwind Platforms,"Boston, MA",Full-time,"REST API Design, Jetpack Compose, Push Notifications, Mobile Performance Optimization, Kotlin, Android Studio",55023,78493,Software Engineering
Junior Frontend Engineer,Gullhaven Systems,Remote,Part-time,"Vue.js, TypeScript, Redux, Responsive Design, Material UI, GraphQL Client (Apollo), Problem Solving",55618,72211,Software Engineering
Junior Android Engineer,Thistledown Platforms,"Los Angeles, CA",Full-time,"Push Notifications, Android Development, Mobile Performance Optimization, Mobile CI/CD, App Store Optimization, Kotlin, REST API Design",63021,79857,Software Engineering
Senior Full Stack Engineer,Nova Systems,Remote,Full-time,"HTML, Caching Strategies, CSS, ASP.NET, Docker, System Design, C#, gRPC",101984,149664,Software Engineering
Lead Full Stack Developer,Copperbend Platforms,"Seattle, WA",Full-time,"Kotlin, HTML, Java, Figma, Vite",133390,165526,Software Engineering
Senior Software Engineer,Ironwood Systems,"Amsterdam, Netherlands",Full-time,"REST API Design, Amazon Web Services, Storybook, Cassandra, DynamoDB, Redis, Event-Driven Architecture, MYSQL",107846,141672,Software Engineering
Staff Software Engineer,Skyline Systems,"Seattle, WA",Full-time,"Hexagonal Architecture, Kubernetes, gRPC, Cassandra",141722,184454,Software Engineering
Junior Android Engineer,Granite Systems,"Raleigh, NC",Full-time,"Jetpack Compose, Android Studio, App Store Optimization, Continuous Integration",60701,69572,Software Engineering
Intern iOS Engineer,Timberline Platforms,"Amsterdam, Netherlands",Internship,"Agile Methodology, Objective-C, SwiftUI, App Store Optimization, rest api design, Swift",21131,35198,Software Engineering
Senior Full Stack Engineer,Basalt Platforms,"Amsterdam, Netherlands",Full-time,"HTML, Distributed Systems, Tailwind CSS, C#, Cross-browser Compatibility, Microsoft Azure, Event-Driven Architecture",101847,148607,Software Engineering
Intern Android Engineer,Crestline Systems,"Austin, TX",Internship,"Android Development, Mobile Performance Optimization, Android Studio, App Store Optimization, Push Notifications",21810,32843,Software Engineering
Mobile Developer (iOS),Brightbay Platforms,Remote,Full-time,"Mobile Performance Optimization, Mentoring, Mobile CI/CD, Swift, Push Notifications, REST API Design, Xcode",80457,97867,Software Engineering
Software Developer,Cinderfall Systems,"Amsterdam, Netherlands",Full-time,"Ruby, Material UI, Jest, GraphQL, Ruby on Rails, Sass",90230,103545,Software Engineering
Junior Backend Engineer,Northwind Systems,Remote,Full-time,"GraphQL, Cassandra, Ruby on Rails",57093,66325,Software Engineering
Mobile Developer (iOS),Nova Platforms,"Chicago, IL",Full-time,"Mobile App Architecture, Mobile CI/CD, App Store Optimization, Objective-C",76434,109874,Software Engineering
Senior Mobile Engineer,Tidefall Systems,"Boston, MA",Full-time,"REST API Design, Domain-Driven Design, Kotlin Multiplatform, Mobile App Architecture, Mobile Performance Optimization, Mobile CI/CD, Hexagonal Architecture, Flutter",108277,147373,Software Engineering
Intern Software Developer,Nova Systems,"Austin, TX",Internship,"Ruby on Rails, Vite, Responsive Design, DynamoDB",21509,39336,Software Engineering
"Engineering Manager, Frontend",Crestline Systems,"Seattle, WA",Full-time,"Svelte, Sass, GraphQL Client (Apollo), Next.js, Problem Solving, TypeScript, Redux, React",120616,169612,Software Engineering
Lead Frontend Developer,Thistledown Systems,Remote,Full-time,"Bootstrap, Next.js, Svelte, Material UI, Accessibility (WCAG), Jest, Team Leadership",134136,173076,Software Engineering
Senior Full Stack Engineer,Windemere Works,"Denver, CO",Full-time,"Cross-browser Compatibility, Figma, jQuery, Vite",121533,139105,Software Engineering
Software Engineer,Timberline Platforms,"Toronto, ON",Part-time,"PostgreSQL, Tailwind CSS, FastAPI, Svelte, Progressive Web Apps, Responsive Design, Django, Agile Methodology",91801,106537,Software Engineering
Backend Engineer,Nova Platforms,"Austin, TX",Full-time,"GraphQL, Ruby on Rails, Google Cloud Platform, Ruby, Python, PostgreSQL, Microservices Architecture",84544,109220,Software Engineering
Junior Full Stack Developer,Tidefall Platforms,"Portland, OR",Contract,"Caching Strategies, Jest, Spring Boot,  Bootstrap , Event-Driven Architecture, NestJS, Cassandra, C#",55450,78173,Software Engineering
Intern iOS Engineer,Brightbay Systems,"Washington, DC",Internship,"Mobile App Architecture, App Store Optimization, REST API Design",21613,32542,Software Engineering
Software Developer,Timberline Platforms,"Boston, MA",Full-time,"spring boot, CI/CD Pipelines, Distributed Systems",79390,109772,Software Engineering
Mobile Developer (Android),Quartzline Systems,"Austin, TX",Full-time,"Mobile Performance Optimization, Mobile App Architecture, Kotlin, Problem Solving",80689,105738,Software Engineering
Mobile Developer (Android),Windemere Works,"Boston, MA",Full-time,"REST API Design, Android Studio, Mobile CI/CD, Android Development, Mobile App Architecture, App Store Optimization",81495,100520,Software Engineering
Backend Developer,Wrenfield Systems,"Austin, TX",Full-time,"Amazon Web Services, Kotlin, Event-Driven Architecture, FastAPI, Java",80552,107946,Software Engineering
Junior Frontend Developer,Coral Platforms,"Chicago, IL",Contract,"Redux, Git, Jest",55446,79331,Software Engineering
Principal Android Engineer,Meridian Platforms,"Washington, DC",Full-time,"Scrum, Mobile Performance Optimization, Mobile App Architecture, App Store Optimization, Android Development",150027,189467,Software Engineering
Junior Mobile Engineer,Cascadia Systems,"Denver, CO",Full-time,"Mobile CI/CD, REST API Design, Dart, Flutter, Mobile App Architecture, Cross-platform Development, React Native, Kotlin Multiplatform",57388,67229,Software Engineering
Full Stack Developer,Cobalt Platforms,"Raleigh, NC",Contract,"Amazon Web Services, PostgreSQL, Angular",78289,98480,Software Engineering
Principal Full Stack Developer,Brightbay Systems,"Boston, MA",Full-time,"Jest, Webpack, Next.js, Vue.js, Domain-Driven Design, Microservices Architecture, REST API Design",150629,182444,Software Engineering
Intern Mobile Developer (Android),Gullhaven Platforms,"Chicago, IL",Internship,"Push Notifications, Android Studio, Mobile App Architecture, Kotlin, Android Development, Mobile Performance Optimization, REST API Design, App Store Optimization",24630,39481,Software Engineering
Junior Frontend Engineer,Cinderfall Platforms,"Raleigh, NC",Contract,"Jest, Webpack, TypeScript, HTML",60914,73997,Software Engineering
Senior Backend Engineer,Fernwood Systems,"Seattle, WA",Full-time,"Communication, Redis, MongoDB",108274,145190,Software Engineering
Android Engineer,Granite Systems,"Toronto, ON",Full-time,"Jetpack Compose, Mobile App Architecture, Technical Writing, Push Notifications, REST API Design, Mobile CI/CD, App Store Optimization",76417,109482,Software Engineering
Senior Full Stack Developer,Coral Platforms,"London, UK",Full-time,"Redux, System Design, Microservices Architecture, Caching Strategies, Cassandra",118810,138684,Software Engineering
Android Engineer,Copperbend Systems,"San Francisco, CA",Full-time,"Mobile Performance Optimization, Jetpack Compose, Kotlin, mobile app architecture, REST API Design, App Store Optimization, Mobile CI/CD",83884,97821,Software Engineering
Android Engineer,Windemere Platforms,"San Francisco, CA",Full-time,"Mobile App Architecture, Mobile CI/CD, Agile Methodology, Push Notifications, Android Studio, Kotlin, App Store Optimization",87567,104301,Software Engineering
Lead iOS Engineer,Emberfield Systems,"Toronto, ON",Full-time,"REST API Design, Swift, Mobile Performance Optimization, Scrum, Objective-C",130747,174059,Software Engineering
Staff Backend Developer,Thistledown Platforms,"Boston, MA",Full-time,"PostgreSQL, Redis, Load Balancing, Django, Message Queues (RabbitMQ), Python, Node.js, Flask",144098,181064,Software Engineering
Junior Android Engineer,Slatestone Systems,"Chicago, IL",Full-time,"Mobile Performance Optimization, Kotlin, Problem Solving",55355,77730,Software Engineering
Senior Software Developer,Hollowreach Platforms,"Raleigh, NC",Full-time,"jQuery, Responsive Design, Svelte, Go, NestJS, System Design",103886,148813,Software Engineering
Software Engineer,Gullhaven Platforms,"Chicago, IL",Full-time,"CSS, Material UI, Next.js, Cross-browser Compatibility, Mentoring, React",75009,100711,Software Engineering
Junior Frontend Developer,Bluepeak Systems,"San Francisco, CA",Contract,"Accessibility (WCAG), React, Jest, Bootstrap",64047,74836,Software Engineering
Junior Mobile Developer (iOS),Coral Platforms,"Los Angeles, CA",Full-time,"App Store Optimization, Team Leadership, iOS Development, Mobile CI/CD, Objective-C, Mobile App Architecture, Swift",61584,77957,Software Engineering
Junior Full Stack Engineer,Silverbrook Systems,Remote,Full-time,"Microsoft Azure, Responsive Design, MySQL, REST API Design, Python",63970,74017,Software Engineering
Principal Full Stack Engineer,Coral Platforms,Remote,Full-time,"Event-Driven Architecture, Continuous Integration, gRPC",152321,169867,Software Engineering
Senior Mobile Developer (iOS),Skyline Systems,"Austin, TX",Full-time,"Team Leadership, SwiftUI, Xcode, Mobile App Architecture, REST API Design, Push Notifications, iOS Development",105983,125581,Software Engineering
Staff Frontend Engineer,Bluepeak Systems,"Amsterdam, Netherlands",Full-time,"Accessibility (WCAG), Tailwind CSS, Bootstrap, Redux, Svelte",145826,177320,Software Engineering
Senior Full Stack Developer,Redwood Systems,"Chicago, IL",Part-time,"PostgreSQL, Angular, Hexagonal Architecture, Mentoring",116735,134250,Software Engineering
Senior Frontend Engineer,Windemere Works,"Portland, OR",Full-time,"Accessibility (WCAG), Angular, JavaScript, Tailwind CSS, GraphQL Client (Apollo), Team Leadership, Progressive Web Apps",111894,142947,Software Engineering
Senior Frontend Developer,Windemere Platforms,"San Francisco, CA",Full-time,"JavaScript, Problem Solving, jQuery, Material UI",105464,140899,Software Engineering
Senior Android Engineer,Vertex Platforms,"Chicago, IL",Full-time,"Android Development, REST API Design, Jetpack Compose, Mobile CI/CD",119503,148918,Software Engineering
Senior Frontend Engineer,Gullhaven Platforms,"Bengaluru, India",Full-time,"Continuous Integration, HTML, Tailwind CSS, Next.js",104247,148119,Software Engineering
Junior Frontend Developer,Copperbend Systems,Remote,Full-time,"Next.js, Redux, GraphQL Client (Apollo), jQuery, Webpack, Progressive Web Apps, Cross-browser Compatibility, Sass",58188,69820,Software Engineering
Junior Frontend Engineer,Harborline Platforms,Singapore,Full-time,"Angular, Technical Writing, Webpack",57902,77024,Software Engineering
Intern Android Engineer,Amber Systems,Remote,Internship,"Kotlin, Mobile App Architecture, Git, REST API Design, Mobile CI/CD",22436,33790,Software Engineering
Software Developer,Copperbend Systems,"Berlin, Germany",Contract,"Figma, Progressive Web Apps, gRPC, PostgreSQL, Express.js, Tailwind CSS",77097,107796,Software Engineering
Senior Frontend Developer,Silverbrook Platforms,"Dublin, Ireland",Contract,"jQuery, GraphQL Client (Apollo), Cross-browser Compatibility, Responsive Design, CSS, Jest, Bootstrap, Progressive Web Apps",101255,143273,Software Engineering
Junior Frontend Developer,Harborline Platforms,"New York, NY",Full-time,"Redux, Material UI, CSS, Sass, React, Next.js, Figma, Team Leadership",58250,78377,Software Engineering
Frontend Developer,Quartzline Platforms,"Chicago, IL",Full-time,"Next.js, Bootstrap, Vue.js, Accessibility (WCAG), TypeScript, Team Leadership",83392,100059,Software Engineering
Lead iOS Engineer,Nova Platforms,"Seattle, WA",Full-time,"Team Leadership, Mobile Performance Optimization, Mobile App Architecture, Objective-C, REST API Design, Push Notifications, SwiftUI",130948,163352,Software Engineering
Senior Frontend Developer,Cascadia Systems,"San Francisco, CA",Full-time,"Cross-browser Compatibility, GraphQL Client (Apollo), Team Leadership, Storybook, Bootstrap, Material UI, Tailwind CSS",121336,148774,Software Engineering
Intern Mobile Engineer,Cinderfall Systems,"Seattle, WA",Internship,"Kotlin Multiplatform, Mobile CI/CD, React Native, Mobile Performance Optimization, Cross-platform Development, Mobile App Architecture, Dart, REST API Design",20663,36452,Software Engineering
Junior Backend Engineer,Redwood Systems,"Denver, CO",Full-time,"Amazon Web Services, C#, Message Queues (RabbitMQ), ASP.NET, FastAPI",64667,75912,Software Engineering
Lead Frontend Engineer,Wrenfield Systems,"Dublin, Ireland",Full-time,"Vue.js, Accessibility (WCAG), GraphQL Client (Apollo), Tailwind CSS, Angular, Vite, Figma",134319,159324,Software Engineering
Intern Frontend Developer,Foxglove Platforms,"Dublin, Ireland",Internship,"Bootstrap, redux, Team Leadership, Webpack, TypeScript",22752,36824,Software Engineering
Senior Android Engineer,Lattice Platforms,"San Francisco, CA",Full-time,"Mobile CI/CD, App Store Optimization, kotlin, Domain-Driven Design",101961,142217,Software Engineering
Intern Android Engineer,Hollowreach Platforms,"Bengaluru, India",Internship,"Kotlin, App Store Optimization, Android Studio, Push Notifications, REST API Design, Jetpack Compose, Mobile CI/CD",20254,37522,Software Engineering
Intern Full Stack Engineer,Cascadia Systems,"New York, NY",Internship,"Webpack, REST API Design, Kubernetes, NestJS",20268,39944,Software Engineering
Lead Full Stack Engineer,Nova Platforms,"Seattle, WA",Full-time,"MySQL, Django, Java, Amazon Web Services, Distributed Systems, Spring Boot",132640,174175,Software Engineering
Senior Full Stack Developer,Palisade Platforms,"New York, NY",Contract,"Jest, Next.js, Technical Writing, Redis, Node.js, Figma",104561,141926,Software Engineering
Senior Frontend Engineer,Nova Systems,Remote,Full-time,"Svelte, Progressive Web Apps, Bootstrap, Material UI, GraphQL Client (Apollo)",115899,143672,Software Engineering
Lead Backend Developer,Driftwood Systems,Remote,Full-time,"MongoDB, Message Queues (RabbitMQ), Ruby on Rails, GraphQL",130323,174535,Software Engineering
"Engineering Manager, Mobile",Copperbend Platforms,"Chicago, IL",Full-time,"Push Notifications, Hexagonal Architecture, Objective-C, Mobile App Architecture, Mobile Performance Optimization, Swift",121051,158652,Software Engineering
Senior Frontend Developer,Bluepeak Systems,"Washington, DC",Full-time,"Svelte, jQuery, Bootstrap, Code Review Practices, Material UI, Figma, Angular",117647,138622,Software Engineering
Junior Frontend Developer,Skyline Platforms,"Austin, TX",Full-time,"Material UI, Code Review Practices, jQuery, React, CSS, HTML",55537,79774,Software Engineering
Mobile Developer (iOS),Brightbay Systems,"Raleigh, NC",Full-time,"App Store Optimization, Objective-C, Mobile Performance Optimization, REST API Design, Agile Methodology, Mobile CI/CD, iOS Development",91550,104081,Software Engineering
Staff Software Engineer,Harborline Platforms,"Los Angeles, CA",Full-time,"Next.js, Cross-browser Compatibility, Django, Amazon Web Services",141720,174436,Software Engineering
Senior Full Stack Developer,Copperbend Works,"Chicago, IL",Contract,"Redux, TypeScript, Kotlin, ASP.NET, Distributed Systems",103098,142721,Software Engineering
Lead Software Engineer,Crestline Systems,"Washington, DC",Contract,"Distributed Systems, Ruby, Figma, Google Cloud Platform, MongoDB",140012,162840,Software Engineering
Intern Backend Engineer,Harborline Platforms,"Atlanta, GA",Internship,"Message Queues (RabbitMQ), Distributed Systems, Ruby on Rails, Express.js, Java, NestJS, REST API Design",20524,36256,Software Engineering
Staff Frontend Engineer,Copperbend Platforms,"Chicago, IL",Contract,"Cross-browser Compatibility, Svelte, Sass, Accessibility (WCAG), Progressive Web Apps",147042,179944,Software Engineering
Staff Full Stack Engineer,Brightbay Platforms,"Seattle, WA",Full-time,"Tailwind CSS, jQuery, TypeScript, Vite, Cross-browser Compatibility",153086,176080,Software Engineering
iOS Engineer,Wrenfield Systems,"New York, NY",Contract,"REST API Design, Mobile Performance Optimization, SwiftUI, APP STORE OPTIMIZATION",86173,99152,Software Engineering
Senior Mobile Engineer,Tidefall Platforms,"Chicago, IL",Full-time,"Technical Writing, Cross-platform Development, Dart, Kotlin Multiplatform, Mobile App Architecture, Team Leadership",104881,148779,Software Engineering
Junior Mobile Developer (iOS),Meridian Systems,"Amsterdam, Netherlands",Full-time,"Agile Methodology, Objective-C, Push Notifications",55358,76863,Software Engineering
Senior Frontend Engineer,Nova Platforms,"Raleigh, NC",Contract,"Material UI, Webpack, Next.js, JavaScript, Tailwind CSS, Vue.js, Domain-Driven Design",119142,149453,Software Engineering
Principal Mobile Developer (iOS),Crestline Systems,"Austin, TX",Full-time,"Mobile CI/CD, Xcode, Mobile Performance Optimization, REST API Design",153457,172333,Software Engineering
"Engineering Manager, Backend",Fernwood Systems,Remote,Full-time,"system design, Cassandra, Ruby, Amazon Web Services, Node.js, Go, Java, Django, Cassandra",121845,154449,Software Engineering
Principal Mobile Developer (iOS),Ashgrove Works,Remote,Contract,"Xcode, Mobile Performance Optimization, Mentoring",157277,175148,Software Engineering
Senior Frontend Developer,Brightbay Platforms,"San Francisco, CA",Full-time,"Sass, Storybook, CSS, React, GraphQL Client (Apollo), Tailwind CSS, PROGRESSIVE WEB APPS, Angular",129946,149676,Software Engineering
