id,name,category,description
SKILL_043,Pandas,Data Science,A fast, powerful, and flexible Python data analysis and manipulation library built on top of NumPy.
SKILL_044,NumPy,Data Science,The fundamental package for scientific computing in Python providing multi-dimensional array support.
SKILL_045,scikit-learn,Data Science,A free Python machine learning library featuring classification, regression, clustering, and dimensionality reduction.
SKILL_046,TensorFlow,Data Science,An end-to-end open-source machine learning platform developed by Google for building and deploying ML models.
SKILL_047,PyTorch,Data Science,A dynamic deep learning framework developed by Meta widely used in research and production ML systems.
SKILL_048,Jupyter Notebook,Data Science,An open-source web application for creating and sharing documents containing live code, equations, and visualizations.
SKILL_049,Data Visualization,Data Science,The graphical representation of data and information to communicate insights clearly through charts and graphs.
SKILL_050,Machine Learning,AI/ML,A field of AI enabling systems to learn from data and improve their performance without being explicitly programmed.
SKILL_051,Deep Learning,AI/ML,A subset of machine learning using multi-layered neural networks to learn representations from raw data.
SKILL_052,NLP,AI/ML,Natural Language Processing is a branch of AI concerned with giving computers the ability to understand text and speech.
SKILL_053,Computer Vision,AI/ML,A field of AI that enables machines to derive meaningful information from images, videos, and visual inputs.
SKILL_054,Large Language Models,AI/ML,Transformer-based neural networks trained on vast text corpora capable of generating and understanding human language.
SKILL_055,Generative AI,AI/ML,A class of AI models that can generate new content including text, images, audio, and code from learned patterns.
SKILL_056,Microservices,Architecture,An architectural style that structures an application as a collection of small independently deployable services.
SKILL_057,REST APIs,Architecture,Representational State Transfer APIs are a standard interface for web services using HTTP methods and resources.
SKILL_058,GraphQL,Architecture,A query language for APIs and a runtime for fulfilling those queries with your existing data.
SKILL_059,gRPC,Architecture,A high-performance open-source RPC framework using Protocol Buffers for inter-service communication.
SKILL_060,System Design,Architecture,The process of defining architecture, components, modules, and interfaces of a system to satisfy requirements.
SKILL_061,Distributed Systems,Architecture,Systems whose components are located on networked computers communicating and coordinating to achieve a common goal.
SKILL_062,Git,Tools,A distributed version control system for tracking changes in source code during software development.
SKILL_063,GitHub,Tools,A cloud-based platform for hosting Git repositories with collaboration features like pull requests and issues.
SKILL_064,Jira,Tools,A project management and issue tracking tool widely used by agile software development teams.
SKILL_065,Agile/Scrum,Tools,An iterative project management methodology that organizes work in short sprints with regular feedback cycles.
SKILL_066,Communication,Soft Skills,The ability to convey information effectively and efficiently through verbal, written, and non-verbal channels.
SKILL_067,Problem Solving,Soft Skills,The capacity to identify issues, analyze root causes, and develop effective solutions in a systematic manner.
SKILL_068,Teamwork,Soft Skills,The ability to collaborate effectively with colleagues to achieve shared goals and deliver results together.
SKILL_069,Leadership,Soft Skills,The ability to guide, motivate, and inspire individuals and teams toward achieving organizational objectives.
SKILL_070,Apache Kafka,Cloud & DevOps,A distributed event streaming platform used for high-performance data pipelines and streaming analytics.
SKILL_071,Apache Spark,Data Science,A unified analytics engine for large-scale data processing with built-in modules for streaming and machine learning.
SKILL_072,ETL/ELT,Data Science,Extract, Transform, Load processes for moving and transforming data between source systems and data warehouses.
SKILL_073,Tableau,Data Science,A visual analytics platform that helps people see and understand data through interactive dashboards.
SKILL_074,Power BI,Data Science,Microsoft's business analytics tool for creating interactive reports and dashboards from diverse data sources.
SKILL_075,Data Warehousing,Data Science,The process of collecting and managing data from varied sources to provide meaningful business insights.
SKILL_076,Retrieval-Augmented Generation,AI/ML,A technique combining information retrieval with generative AI to produce accurate and grounded responses.
SKILL_077,Vector Databases,AI/ML,Databases optimized for storing and querying high-dimensional vector embeddings used in AI applications.
SKILL_078,Prompt Engineering,AI/ML,The practice of designing and optimizing input prompts to guide large language models toward desired outputs.
SKILL_079,Bash,Cloud & DevOps,A Unix shell and command language used for scripting automation tasks and system administration.
SKILL_080,NoSQL,Databases,A category of non-relational databases designed to handle unstructured data at massive scale with flexible schemas.
