id,title,company,location,employment_type,salary_min,salary_max,skills_required,description,posted_date
JOB_011,Software Engineer - Security,NexaAI,Austin TX,Full-time,135000,170000,"Python,Go,Linux,Bash,CI/CD,OAuth 2.0","Security-focused engineer implementing authentication, authorization, and audit systems. You will perform code reviews with a security lens and respond to vulnerability disclosures.",2024-02-14
JOB_012,Software Engineer - Infrastructure,DataSolutions,Remote,Full-time,115000,150000,"Go,Terraform,Kubernetes,Docker,Linux,CI/CD","Infrastructure engineer automating cloud provisioning and maintaining developer tooling. You will own the CI/CD platform and reduce deployment friction for the engineering organization.",2024-03-22
JOB_013,Senior Software Engineer - API Platform,EduTech,New York NY,Full-time,140000,175000,"Node.js,TypeScript,PostgreSQL,REST APIs,GraphQL,Docker","Senior engineer building and evolving the developer-facing API platform. You will define API standards, write OpenAPI specifications, and ensure high availability.",2024-04-18
JOB_014,Software Engineer - Realtime Systems,TechCorp,San Francisco CA,Full-time,130000,165000,"Go,Apache Kafka,Redis,WebSockets,Distributed Systems,PostgreSQL","Engineer building real-time notification and event streaming systems supporting millions of concurrent connections. You will optimize for low latency and high throughput.",2024-05-07
JOB_015,Software Engineer,HealthData,London UK,Full-time,70000,95000,"Python,Flask,PostgreSQL,REST APIs,Docker,Git","Software engineer contributing to a cloud-based electronic health records platform. You will develop RESTful services and collaborate with a distributed international team.",2024-06-01
JOB_016,Software Engineer - Growth,NexaAI,Remote,Contract,90000,120000,"JavaScript,TypeScript,React,Node.js,PostgreSQL,REST APIs","Contract engineer driving growth initiatives through A/B experimentation and conversion optimization. You will build dashboards, funnels, and analytics features.",2024-03-05
JOB_017,Software Engineer - Data Platform,CloudScale,Seattle WA,Full-time,135000,170000,"Python,Apache Spark,Apache Kafka,PostgreSQL,Distributed Systems,CI/CD","Engineer designing and maintaining the internal data platform used by 200+ engineers. You will build data ingestion pipelines, optimize query engines, and improve observability.",2024-06-10
JOB_018,Software Engineer II - Recommendations,FinTechPro,San Francisco CA,Full-time,120000,155000,"Python,Machine Learning,PostgreSQL,REST APIs,Docker,NumPy","Mid-level engineer embedding ML-powered recommendation features into consumer products. You will work closely with data scientists to productionize models and run experiments.",2024-04-25
JOB_019,Senior Software Engineer - Search,DataSolutions,Austin TX,Full-time,145000,185000,"Java,Elasticsearch,Apache Kafka,Distributed Systems,Microservices,System Design","Senior engineer owning the search infrastructure that powers product discovery for 10M+ users. You will build relevance pipelines and tune Elasticsearch clusters.",2024-05-15
JOB_020,Software Engineer - Open Source,TechCorp,Dhaka Bangladesh,Full-time,30000,50000,"Python,JavaScript,Git,GitHub,REST APIs,Docker","Engineer maintaining and contributing to open-source developer tools used by the global developer community. You will triage issues, review pull requests, and release new versions.",2024-07-01
JOB_021,Junior Frontend Developer,EduTech,Austin TX,Full-time,75000,100000,"React,JavaScript,HTML,CSS,Git,REST APIs","Junior frontend developer building responsive user interfaces for an educational content platform. You will implement designs from Figma and integrate with backend APIs.",2024-01-20
JOB_022,Frontend Developer,TechCorp,San Francisco CA,Full-time,105000,135000,"React,TypeScript,Next.js,TailwindCSS,REST APIs,Git","Frontend developer responsible for building fast and accessible web experiences. You will own the component library and establish frontend coding standards.",2024-02-08
JOB_023,Senior Frontend Developer,NexaAI,New York NY,Full-time,135000,170000,"React,TypeScript,Next.js,GraphQL,TailwindCSS,CI/CD","Senior frontend engineer leading the migration of a legacy app to a modern React-based architecture. You will mentor junior developers and drive performance improvements.",2024-03-01
JOB_024,Frontend Developer - Design Systems,CloudScale,Seattle WA,Full-time,115000,150000,"React,TypeScript,CSS,HTML,Git,Agile/Scrum","Frontend engineer dedicated to building and documenting a shared design system used across all product teams. You will collaborate closely with designers and enforce accessibility standards.",2024-04-10
JOB_025,Frontend Developer,HealthData,Remote,Full-time,95000,125000,"Vue.js,JavaScript,HTML,CSS,REST APIs,Git","Frontend developer building the patient-facing portal of a telehealth application. You will translate complex clinical workflows into intuitive UI/UX experiences.",2024-01-30
JOB_026,React Developer,FinTechPro,New York NY,Contract,100000,130000,"React,TypeScript,Redux,REST APIs,Jest,Git","Contract React developer to accelerate delivery of a financial dashboard product. You will build reusable data visualization components and integrate charting libraries.",2024-05-20
JOB_027,Frontend Engineer - Web Performance,DataSolutions,San Francisco CA,Full-time,120000,155000,"React,TypeScript,Next.js,HTML,CSS,CI/CD","Frontend engineer obsessed with web performance, working to achieve sub-second load times across all product surfaces. You will optimize bundles, images, and server-side rendering.",2024-06-05
JOB_028,Senior Frontend Developer,EduTech,London UK,Full-time,65000,90000,"Angular,TypeScript,HTML,CSS,REST APIs,Agile/Scrum","Senior frontend engineer building interactive learning modules for a global edtech platform. You will lead sprint planning and collaborate with content creators.",2024-02-25
JOB_029,Frontend Developer Intern,TechCorp,Austin TX,Internship,30000,45000,"HTML,CSS,JavaScript,React,Git","Internship focused on building and testing UI components for the company's main product. You will work in an agile team and participate in code reviews.",2024-04-15
JOB_030,Frontend Developer - Mobile Web,NexaAI,Dhaka Bangladesh,Full-time,25000,40000,"React,JavaScript,HTML,CSS,REST APIs,Git","Frontend developer specializing in mobile-first web experiences for emerging markets with low-bandwidth constraints. You will work on progressive web apps and offline-capable features.",2024-07-15
JOB_031,Vue.js Developer,CloudScale,Remote,Full-time,100000,135000,"Vue.js,JavaScript,TypeScript,REST APIs,TailwindCSS,Git","Frontend developer building internal tooling dashboards using Vue.js. You will own the admin portal and collaborate with product managers to define new features.",2024-03-18
JOB_032,Frontend Developer,HealthData,San Francisco CA,Full-time,110000,145000,"React,TypeScript,Next.js,TailwindCSS,GraphQL,CI/CD","Frontend developer building the next-generation provider dashboard used by 50,000+ clinicians. You will integrate complex data visualizations and real-time updates.",2024-05-10
JOB_033,Lead Frontend Engineer,FinTechPro,New York NY,Full-time,155000,195000,"React,TypeScript,System Design,TailwindCSS,GraphQL,Leadership","Lead frontend engineer managing a team of 5 developers and setting the technical direction for all web products. You will conduct technical interviews and drive quarterly roadmap planning.",2024-06-20
JOB_034,Frontend Developer,DataSolutions,Austin TX,Part-time,50000,65000,"Vue.js,JavaScript,HTML,CSS,Git,REST APIs","Part-time frontend developer contributing to a SaaS analytics dashboard. You will own specific feature areas and attend weekly syncs with the engineering team.",2024-07-05
JOB_035,Frontend Developer - Accessibility,EduTech,Remote,Full-time,100000,130000,"React,TypeScript,HTML,CSS,Agile/Scrum,Communication","Frontend engineer dedicated to ensuring all product surfaces meet WCAG 2.1 AA accessibility standards. You will audit existing UI, fix violations, and train the team on best practices.",2024-04-22
JOB_036,Junior Backend Developer,TechCorp,San Francisco CA,Full-time,80000,105000,"Python,Django,PostgreSQL,REST APIs,Git,Docker","Junior backend developer building and maintaining API services for a B2B SaaS platform. You will write unit tests, fix bugs, and gradually take ownership of new feature work.",2024-01-12
JOB_037,Backend Developer,DataSolutions,New York NY,Full-time,110000,145000,"Node.js,TypeScript,PostgreSQL,Redis,REST APIs,Docker","Backend developer designing and implementing microservices for a data analytics product. You will optimize database queries and ensure API reliability.",2024-02-18
JOB_038,Senior Backend Developer,CloudScale,Seattle WA,Full-time,140000,180000,"Go,PostgreSQL,Redis,Kubernetes,Microservices,System Design","Senior backend engineer leading the redesign of the billing and subscription system. You will define the data model, write technical specifications, and own delivery.",2024-03-08
JOB_039,Backend Developer - Fintech,FinTechPro,New York NY,Full-time,125000,160000,"Java,Spring Boot,PostgreSQL,Apache Kafka,Microservices,CI/CD","Backend developer building event-driven financial services that process transactions in real time. You will ensure correctness, idempotency, and high availability.",2024-04-02
JOB_040,Backend Developer,EduTech,Remote,Full-time,95000,125000,"Python,FastAPI,PostgreSQL,Redis,Docker,REST APIs","Backend developer creating APIs for a learning management system used by universities. You will design efficient data models and implement role-based access control.",2024-05-08
JOB_041,Backend Engineer - Python,NexaAI,Austin TX,Full-time,105000,140000,"Python,Flask,PostgreSQL,Redis,Docker,CI/CD","Backend engineer building API services for an AI-powered SaaS product. You will integrate with third-party LLM providers and implement caching strategies.",2024-06-12
JOB_042,Backend Developer Intern,TechCorp,San Francisco CA,Internship,32000,50000,"Python,REST APIs,PostgreSQL,Git,Docker","Backend development internship working on API features for the core product. You will gain hands-on experience with production systems and agile development practices.",2024-04-08
JOB_043,Senior Backend Engineer,HealthData,London UK,Full-time,75000,100000,"Python,Django,PostgreSQL,REST APIs,Docker,CI/CD","Senior backend engineer designing FHIR-compliant healthcare APIs. You will lead a squad of 3 engineers and own backend architecture decisions for the data platform.",2024-03-25
JOB_044,Backend Developer - Messaging,CloudScale,San Francisco CA,Full-time,120000,155000,"Go,Apache Kafka,Redis,WebSockets,Distributed Systems,PostgreSQL","Backend engineer building the real-time messaging infrastructure supporting 50M+ daily messages. You will design protocols, manage Kafka clusters, and optimize throughput.",2024-05-22
JOB_045,Backend Developer,DataSolutions,Dhaka Bangladesh,Full-time,20000,35000,"Node.js,JavaScript,MongoDB,REST APIs,Git,Express.js","Backend developer building API services for a regional e-commerce platform. You will design MongoDB schemas and collaborate with mobile and web frontend teams.",2024-07-10
JOB_046,Backend Engineer - GraphQL,EduTech,New York NY,Full-time,115000,150000,"Node.js,TypeScript,GraphQL,PostgreSQL,Redis,Docker","Backend engineer specializing in GraphQL API design for a content delivery platform. You will evolve the schema, implement data loaders, and reduce over-fetching.",2024-06-25
JOB_047,Backend Developer - Auth,FinTechPro,Remote,Full-time,110000,145000,"Python,OAuth 2.0,JWT Authentication,PostgreSQL,Redis,Docker","Backend engineer owning the authentication and authorization platform used by all FinTechPro products. You will implement SSO, MFA, and fine-grained permission systems.",2024-02-10
JOB_048,Backend Developer,NexaAI,Seattle WA,Contract,95000,125000,"Node.js,TypeScript,MongoDB,REST APIs,Docker,CI/CD","Contract backend developer to help build new API endpoints for a fast-growing AI assistant product. You will integrate with vector databases and implement rate limiting.",2024-05-18
JOB_049,Senior Backend Developer - Java,TechCorp,Austin TX,Full-time,145000,185000,"Java,Spring Boot,PostgreSQL,Apache Kafka,Microservices,System Design","Senior Java engineer leading the platform team responsible for shared infrastructure services. You will make architecture decisions and mentor a team of 4 backend engineers.",2024-04-28
JOB_050,Backend Developer,CloudScale,San Francisco CA,Full-time,100000,135000,"Python,FastAPI,PostgreSQL,Docker,REST APIs,CI/CD","Backend developer building data ingestion APIs for a cloud analytics product. You will optimize for throughput and implement async processing pipelines.",2024-07-20
JOB_051,Junior Full Stack Developer,TechCorp,Austin TX,Full-time,75000,100000,"JavaScript,React,Node.js,PostgreSQL,HTML,CSS,Git","Junior full stack developer building features across the entire web application stack. You will work on React frontends, Node.js APIs, and PostgreSQL data models.",2024-01-22
JOB_052,Full Stack Developer,EduTech,Remote,Full-time,100000,135000,"TypeScript,React,Node.js,PostgreSQL,Docker,REST APIs","Full stack developer building new features for an online tutoring marketplace. You will own feature work from database design through frontend implementation.",2024-02-15
JOB_053,Senior Full Stack Developer,NexaAI,San Francisco CA,Full-time,140000,180000,"TypeScript,React,Next.js,Node.js,PostgreSQL,GraphQL","Senior full stack engineer driving the rebuild of the main customer-facing product on a modern stack. You will lead technical planning and collaborate with design and product.",2024-03-20
JOB_054,Full Stack Developer - Startup,FinTechPro,New York NY,Full-time,110000,145000,"JavaScript,Vue.js,Python,FastAPI,PostgreSQL,Docker","Full stack developer joining an early-stage fintech team to build the core product from scratch. You will wear many hats, contributing to frontend, backend, and infrastructure.",2024-04-12
JOB_055,Full Stack Developer,HealthData,London UK,Full-time,60000,85000,"TypeScript,React,Node.js,MongoDB,REST APIs,Docker","Full stack developer building patient engagement applications for NHS-integrated care platforms. You will work with clinicians to translate requirements into working software.",2024-05-25
JOB_056,Full Stack Engineer,DataSolutions,Seattle WA,Full-time,115000,150000,"React,TypeScript,Python,Django,PostgreSQL,CI/CD","Full stack engineer contributing to a B2B analytics SaaS product. You will implement dashboards, data export features, and backend API integrations.",2024-06-08
JOB_057,Full Stack Developer Intern,CloudScale,San Francisco CA,Internship,35000,55000,"JavaScript,React,Node.js,PostgreSQL,Git,HTML","Full stack internship building internal tooling and contributing to customer-facing features. You will participate in agile ceremonies and receive mentorship from senior engineers.",2024-04-05
JOB_058,Full Stack Developer,TechCorp,Dhaka Bangladesh,Full-time,22000,38000,"JavaScript,React,Node.js,MongoDB,REST APIs,Git","Full stack developer building features for a growing SaaS product serving South Asian markets. You will contribute to the React frontend and Express.js backend.",2024-07-08
JOB_059,Senior Full Stack Developer,EduTech,Austin TX,Full-time,140000,175000,"TypeScript,Next.js,React,Node.js,PostgreSQL,Redis","Senior full stack engineer owning the student-facing learning experience. You will build server-rendered pages, optimize performance, and implement real-time collaborative features.",2024-03-30
JOB_060,Full Stack Developer,NexaAI,Remote,Contract,100000,130000,"React,TypeScript,Python,Flask,PostgreSQL,Docker","Contract full stack developer to accelerate product development for an AI SaaS startup. You will implement new product features end-to-end on a 6-month engagement.",2024-05-12
JOB_061,Full Stack Developer,FinTechPro,New York NY,Full-time,120000,155000,"TypeScript,Angular,Java,Spring Boot,PostgreSQL,CI/CD","Full stack developer working on trading tools for retail investors. You will build complex financial data visualizations and low-latency backend services.",2024-06-15
JOB_062,Full Stack Developer,HealthData,Remote,Full-time,100000,135000,"JavaScript,React,Python,Django,PostgreSQL,Docker","Full stack developer building a telehealth video consultation platform. You will integrate WebRTC, implement scheduling workflows, and ensure HIPAA compliance.",2024-07-18
JOB_063,Lead Full Stack Developer,DataSolutions,San Francisco CA,Full-time,155000,195000,"TypeScript,React,Next.js,Python,PostgreSQL,System Design","Lead full stack engineer managing a cross-functional product team. You will drive roadmap execution, conduct design reviews, and mentor 3 junior developers.",2024-04-20
JOB_064,Full Stack Developer,CloudScale,Seattle WA,Part-time,55000,75000,"JavaScript,Vue.js,Node.js,MySQL,REST APIs,Git","Part-time full stack developer maintaining and extending a customer portal. You will ship weekly improvements and participate in bi-weekly planning sessions.",2024-05-30
JOB_065,Full Stack Developer,TechCorp,Austin TX,Full-time,105000,140000,"TypeScript,React,Node.js,PostgreSQL,Redis,Docker","Full stack developer building a SaaS platform for project management. You will implement real-time collaboration features and subscription billing flows.",2024-06-22
JOB_066,Junior Data Scientist,DataSolutions,New York NY,Full-time,80000,105000,"Python,Pandas,NumPy,scikit-learn,Jupyter Notebook,SQL Server","Entry-level data scientist building predictive models to support business decision-making. You will clean and analyze large datasets, develop baseline models, and present findings.",2024-01-18
JOB_067,Data Scientist,TechCorp,San Francisco CA,Full-time,115000,150000,"Python,Machine Learning,Pandas,NumPy,scikit-learn,TensorFlow","Data scientist developing recommendation and personalization models for a consumer product with 5M+ users. You will run A/B experiments and translate results into product insights.",2024-02-22
JOB_068,Senior Data Scientist,NexaAI,Seattle WA,Full-time,145000,185000,"Python,Machine Learning,Deep Learning,TensorFlow,PyTorch,Pandas","Senior data scientist leading the applied research team building NLP models for document understanding. You will publish internal research reports and present at company tech talks.",2024-03-12
JOB_069,Data Scientist - NLP,EduTech,Remote,Full-time,120000,155000,"Python,NLP,Machine Learning,TensorFlow,Pandas,Jupyter Notebook","Data scientist specializing in natural language processing to build automated content tagging and search ranking systems. You will train and fine-tune transformer models.",2024-04-08
JOB_070,Data Scientist,HealthData,London UK,Full-time,65000,90000,"Python,Machine Learning,scikit-learn,Pandas,NumPy,Data Visualization","Data scientist applying machine learning to clinical data to predict patient outcomes and reduce hospital readmissions. You will collaborate with clinicians and data engineers.",2024-05-02
JOB_071,Data Scientist - Growth,FinTechPro,New York NY,Full-time,125000,160000,"Python,Machine Learning,Pandas,Tableau,Data Visualization,PostgreSQL","Growth data scientist building attribution models, churn prediction, and LTV forecasting to support marketing and finance decisions. You will own the self-serve analytics tooling.",2024-06-05
JOB_072,Data Scientist Intern,CloudScale,San Francisco CA,Internship,40000,60000,"Python,Pandas,NumPy,scikit-learn,Jupyter Notebook","Summer internship on the data science team building models to optimize cloud resource allocation. You will collaborate with engineers to deploy your models into production.",2024-04-18
JOB_073,Data Scientist,DataSolutions,Austin TX,Full-time,105000,140000,"Python,Machine Learning,Deep Learning,PyTorch,Pandas,scikit-learn","Data scientist building anomaly detection and forecasting models for a business intelligence platform. You will develop model evaluation frameworks and deploy via REST APIs.",2024-07-05
JOB_074,Senior Data Scientist - Computer Vision,TechCorp,San Francisco CA,Full-time,150000,190000,"Python,Computer Vision,Deep Learning,PyTorch,TensorFlow,NumPy","Senior data scientist building vision models for automated quality inspection in manufacturing. You will design training pipelines and optimize model inference for edge deployment.",2024-03-28
JOB_075,Data Scientist,NexaAI,Dhaka Bangladesh,Full-time,28000,45000,"Python,Machine Learning,Pandas,scikit-learn,Jupyter Notebook,Data Visualization","Data scientist building ML models to power features in a local e-commerce platform. You will own the full modeling lifecycle from data collection to deployment.",2024-07-12
JOB_076,Staff Data Scientist,HealthData,New York NY,Full-time,175000,220000,"Python,Machine Learning,Deep Learning,TensorFlow,System Design,Data Visualization","Staff data scientist setting the technical strategy for AI-driven clinical decision support tools. You will lead a team of 5 data scientists and partner with executive stakeholders.",2024-05-18
JOB_077,Data Scientist - Fraud,FinTechPro,Remote,Full-time,130000,165000,"Python,Machine Learning,scikit-learn,Pandas,PostgreSQL,Apache Spark","Data scientist building real-time fraud detection models for a payments platform. You will work with transaction data at scale and collaborate with the risk engineering team.",2024-06-28
JOB_078,Data Scientist,EduTech,Seattle WA,Full-time,110000,145000,"Python,Machine Learning,Pandas,scikit-learn,Jupyter Notebook,PostgreSQL","Data scientist optimizing student learning paths using collaborative filtering and knowledge graph techniques. You will A/B test interventions and measure learning outcomes.",2024-04-25
JOB_079,Data Scientist - Pricing,CloudScale,Austin TX,Full-time,120000,155000,"Python,Machine Learning,Pandas,NumPy,Data Visualization,PostgreSQL","Data scientist building dynamic pricing algorithms to optimize cloud service revenue. You will model demand elasticity and run continuous pricing experiments.",2024-07-22
JOB_080,Principal Data Scientist,DataSolutions,San Francisco CA,Full-time,190000,240000,"Python,Machine Learning,Deep Learning,System Design,PyTorch,Leadership","Principal data scientist defining the AI roadmap for the company's flagship analytics product. You will hire and develop talent, set research direction, and present to the board.",2024-03-05
JOB_081,ML Engineer,NexaAI,San Francisco CA,Full-time,135000,175000,"Python,Machine Learning,TensorFlow,Docker,Kubernetes,REST APIs","ML engineer building the model serving infrastructure that delivers predictions to millions of users. You will optimize inference latency, manage model versions, and build monitoring tools.",2024-01-25
JOB_082,Senior ML Engineer,TechCorp,Seattle WA,Full-time,160000,200000,"Python,Deep Learning,PyTorch,Kubernetes,Docker,CI/CD","Senior ML engineer designing scalable model training and deployment pipelines. You will implement MLOps best practices and reduce time-to-production for new models.",2024-02-28
JOB_083,ML Engineer - NLP,EduTech,New York NY,Full-time,130000,165000,"Python,NLP,Large Language Models,PyTorch,Docker,REST APIs","ML engineer productionizing LLM-based features including automated essay feedback and question generation. You will fine-tune models and implement efficient inference pipelines.",2024-03-22
JOB_084,ML Engineer,HealthData,Remote,Full-time,120000,155000,"Python,Machine Learning,scikit-learn,Docker,PostgreSQL,CI/CD","ML engineer building and deploying predictive models for patient risk stratification. You will work with the data science team to move models from notebooks to production APIs.",2024-04-30
JOB_085,ML Platform Engineer,CloudScale,San Francisco CA,Full-time,150000,190000,"Python,Machine Learning,Kubernetes,Apache Spark,Docker,Distributed Systems","ML platform engineer building the internal ML infrastructure including feature stores, experiment tracking, and batch prediction systems. You will enable 50+ data scientists to ship faster.",2024-05-28
JOB_086,ML Engineer - Generative AI,NexaAI,Austin TX,Full-time,145000,185000,"Python,Large Language Models,Generative AI,PyTorch,Retrieval-Augmented Generation,Vector Databases","ML engineer implementing generative AI features including document summarization, Q&A, and code generation. You will evaluate LLMs, manage prompts, and integrate vector search.",2024-06-18
JOB_087,ML Engineer,FinTechPro,New York NY,Full-time,140000,180000,"Python,Machine Learning,scikit-learn,TensorFlow,Docker,Apache Kafka","ML engineer building real-time scoring pipelines for credit underwriting models. You will integrate models into the loan origination system and monitor for data drift.",2024-07-08
JOB_088,Junior ML Engineer,DataSolutions,Remote,Full-time,90000,115000,"Python,Machine Learning,scikit-learn,Pandas,Docker,Git","Junior ML engineer assisting in building and deploying predictive analytics models. You will write model evaluation code, maintain ML pipelines, and document experiments.",2024-04-12
JOB_089,ML Researcher - Computer Vision,TechCorp,San Francisco CA,Full-time,155000,195000,"Python,Computer Vision,Deep Learning,PyTorch,NumPy,Jupyter Notebook","ML researcher advancing the state of computer vision for product features like image search and visual recommendation. You will publish findings and translate research into production.",2024-05-05
JOB_090,ML Engineer,EduTech,London UK,Full-time,75000,100000,"Python,Machine Learning,TensorFlow,Docker,REST APIs,PostgreSQL","ML engineer building adaptive learning algorithms that personalize educational content for each student. You will instrument data collection, train models, and run online experiments.",2024-06-30
JOB_091,DevOps Engineer,CloudScale,Seattle WA,Full-time,115000,150000,"Docker,Kubernetes,Terraform,CI/CD,Linux,AWS","DevOps engineer managing the cloud infrastructure for a high-traffic SaaS platform. You will automate infrastructure provisioning, manage Kubernetes clusters, and own the CI/CD pipelines.",2024-01-30
JOB_092,Senior DevOps Engineer,TechCorp,San Francisco CA,Full-time,145000,185000,"Kubernetes,Docker,Terraform,AWS,CI/CD,Linux","Senior DevOps engineer leading cloud migration and infrastructure modernization. You will design multi-region AWS architectures and implement infrastructure-as-code standards.",2024-02-25
JOB_093,Cloud Engineer,NexaAI,Remote,Full-time,120000,155000,"AWS,Google Cloud Platform,Terraform,Kubernetes,Docker,CI/CD","Cloud engineer designing and operating multi-cloud infrastructure for a growing AI startup. You will manage cost optimization, security compliance, and SLA commitments.",2024-03-18
JOB_094,DevOps Engineer,FinTechPro,New York NY,Full-time,125000,160000,"Kubernetes,Docker,Terraform,AWS,CI/CD,Ansible","DevOps engineer ensuring the reliability and security of financial services infrastructure. You will implement zero-downtime deployments, manage secrets, and automate compliance checks.",2024-04-22
JOB_095,Cloud Infrastructure Engineer,DataSolutions,Austin TX,Full-time,115000,150000,"AWS,Terraform,Docker,Kubernetes,Linux,Python","Infrastructure engineer building the cloud platform that runs the company's data analytics services. You will own cost management, reliability engineering, and platform automation.",2024-05-15
JOB_096,DevOps Engineer,HealthData,London UK,Full-time,65000,90000,"Docker,Kubernetes,CI/CD,Terraform,Linux,AWS","DevOps engineer maintaining HIPAA-compliant cloud infrastructure for a digital health company. You will manage incident response, implement monitoring, and lead on-call rotations.",2024-06-08
JOB_097,Site Reliability Engineer,TechCorp,San Francisco CA,Full-time,145000,185000,"Kubernetes,Docker,Linux,CI/CD,Python,Distributed Systems","SRE responsible for the reliability and performance of core product services. You will define SLOs, build alerting systems, and drive blameless post-mortems.",2024-07-15
JOB_098,DevOps Intern,EduTech,Austin TX,Internship,35000,50000,"Linux,Docker,Git,CI/CD,Bash","DevOps internship supporting infrastructure operations and learning cloud technologies. You will automate routine tasks, write runbooks, and assist with deployments.",2024-04-28
JOB_099,Cloud Security Engineer,CloudScale,Seattle WA,Full-time,140000,180000,"AWS,Kubernetes,Terraform,Linux,CI/CD,Python","Cloud security engineer implementing security controls across the cloud infrastructure. You will conduct threat modeling, manage IAM policies, and lead penetration testing.",2024-05-25
JOB_100,Platform Engineer,NexaAI,New York NY,Full-time,130000,168000,"Kubernetes,Docker,Terraform,CI/CD,Go,Linux","Platform engineer building the internal developer platform that enables 100+ engineers to deploy safely and reliably. You will own the golden path toolchain and reduce operational toil.",2024-06-22
JOB_101,Data Engineer,DataSolutions,New York NY,Full-time,110000,145000,"Python,Apache Spark,Apache Kafka,PostgreSQL,ETL/ELT,AWS","Data engineer building and maintaining data pipelines that move 10TB+ per day across the analytics platform. You will design ETL workflows, manage Airflow DAGs, and ensure data quality.",2024-01-28
JOB_102,Senior Data Engineer,TechCorp,San Francisco CA,Full-time,140000,180000,"Python,Apache Spark,Apache Kafka,Data Warehousing,AWS,ETL/ELT","Senior data engineer architecting the centralized data lake and warehouse infrastructure. You will define ingestion standards, mentor data engineers, and partner with data science.",2024-02-20
JOB_103,Data Engineer,CloudScale,Seattle WA,Full-time,120000,155000,"Python,Apache Spark,PostgreSQL,Docker,ETL/ELT,CI/CD","Data engineer designing streaming and batch processing pipelines for real-time analytics. You will implement data quality checks and optimize Spark job performance.",2024-03-15
JOB_104,Data Engineer,NexaAI,Remote,Full-time,105000,140000,"Python,Apache Kafka,PostgreSQL,Docker,ETL/ELT,REST APIs","Data engineer building the event-driven data platform for an AI startup. You will design Kafka topics, implement stream processing, and maintain the data catalog.",2024-04-18
JOB_105,Data Engineer - Analytics,FinTechPro,New York NY,Full-time,120000,158000,"Python,Apache Spark,Data Warehousing,Tableau,ETL/ELT,PostgreSQL","Data engineer powering the analytics infrastructure used by finance and operations teams. You will build dbt models, maintain Redshift, and deliver self-serve data capabilities.",2024-05-10
JOB_106,Data Engineer,HealthData,London UK,Full-time,65000,90000,"Python,PostgreSQL,ETL/ELT,Docker,Apache Kafka,Data Warehousing","Data engineer building HL7-compliant healthcare data pipelines. You will ingest data from clinical systems, transform to FHIR format, and load into the analytical data warehouse.",2024-06-15
JOB_107,Data Engineer - ML Platform,EduTech,Austin TX,Full-time,115000,150000,"Python,Apache Spark,Machine Learning,Docker,ETL/ELT,PostgreSQL","Data engineer building the feature engineering platform that supplies ML models with training and serving data. You will collaborate closely with data scientists and ML engineers.",2024-07-10
