title,company,location,type,skills_required,salary_min,salary_max,category
Full Stack Developer,Windemere Systems,"New York, NY",Contract,"Message Queues (RabbitMQ), Google Cloud Platform, gRPC, Sass, Docker, System Design, Microservices Architecture, CSS",80501,103334,Software Engineering
Manager CRM Manager,Halcyon Interactive,"San Francisco, CA",Full-time,"CRM Management, Marketing Automation, HubSpot",114884,163412,"Marketing, Sales & Growth"
Data Science Manager,Cobalt Field Robotics Group,"San Francisco, CA",Full-time,"Statistics, Stakeholder Management, Team Leadership, Python, Data Analysis",140942,153420,Data & Analytics
Lead Software Engineer,Windemere Platforms,"Seattle, WA",Full-time,"Angular, Event-Driven Architecture, C#, Cassandra, KUBERNETES, JavaScript, MySQL, REST API Design",140291,173031,Software Engineering
Senior Interaction Designer,Vertex Cloud Labs,"Berlin, Germany",Full-time,"Responsive Design, Information Architecture, Design Thinking, Interaction Design, Design Critique Facilitation, Prototyping, Figma, OKRs",121304,137873,Design
Intern Machine Learning Engineer,Northfield Neural Group,Remote,Internship,"Machine Learning, Kubernetes, Problem Solving, Reinforcement Learning, PyTorch",27256,38911,Data & Analytics
Junior IT Support Analyst,Helprail Technologies,Remote,Contract,"Documentation Best Practices, Active Directory, Interpersonal Skills, Network Routing & Switching",38996,60735,IT Support
Senior Strategy Analyst,Summit Insights,"San Francisco, CA",Full-time,"Excel Financial Modeling, Competitive Intelligence, Contract Negotiation, Supply Chain Analysis, Investment Analysis, Procurement, P&L Management, QuickBooks",120139,128290,"Business, Finance & Analytics"
"Engineering Manager, Frontend",Gullhaven Platforms,"Seattle, WA",Full-time,"Webpack, Mentoring, Bootstrap, Redux, Jest",126161,154918,Software Engineering
Lead Clinical Data Management Lead,Aequus Health Solutions,"Pittsburgh, PA",Full-time,"Telehealth Systems, Population Health Analytics, R, Natural Language Processing",141463,165790,Health Data & Bioinformatics
Lead Product Owner,Lucent Path Studio,Remote,Full-time,"Business Analysis, Requirements Gathering, OKRs, A/B Test Design, Product Discovery, Interpersonal Skills",145488,157018,Product
Principal Site Reliability Engineer,Cobalt Ventures Tech,"London, UK",Full-time,"Python, Cross-functional Collaboration, CI/CD Pipelines, Shell Scripting",164759,178034,DevOps & Infrastructure
Analytics Engineering Manager,Silverlake Vector Studio,"New York, NY",Full-time,"Data Modeling, dbt, Roadmap Planning, Stakeholder Management",146157,163335,Data & Analytics
Junior Quality Assurance Engineer,Qualitrix Systems,Singapore,Full-time,"Quality Assurance, Unit Testing, Performance Testing, JavaScript, Jira, Interpersonal Skills, Bug Tracking, Load Testing (JMeter)",53018,73980,QA & Testing
Lead Director of Health Informatics,Lucid Clinical Data,Remote,Full-time,"Medical Coding (ICD-10), Cerner, HIPAA Compliance, Statistics, Data Warehousing, Project Management",172229,176115,Health Data & Bioinformatics
Staff Software Developer,Ashgrove Platforms,Remote,Full-time,"Progressive Web Apps, Vite, Bootstrap, Django",141812,176503,Software Engineering
Senior EHR Integration Engineer,Cardialis Life Sciences,"Bengaluru, India",Full-time,"Population Health Analytics, Clinical Data Management, FHIR Standards, Electronic Health Records (EHR), Java, System Design, Microservices Architecture",129722,134707,Health Data & Bioinformatics
Principal Director of Health Informatics,Ridgeline Cloud Labs,"Chicago, IL",Full-time,"Healthcare Interoperability, Medical Coding (ICD-10), FHIR Standards, Electronic Health Records (EHR), HIPAA Compliance, Deep Learning, Statistics, Project Management",151824,189640,Health Data & Bioinformatics
Junior Build & Release Engineer,Deepwater Grid Systems Group,"Dublin, Ireland",Full-time,"GitLab CI, Continuous Integration, Multi-cloud Strategy, Trunk-Based Development, PagerDuty",67503,77091,DevOps & Infrastructure
Treasury Analyst Manager,Onyx Strategy Group,"Seattle, WA",Full-time,"Investment Analysis, Risk Management, Financial Analysis, SAP, Excel, QuickBooks, Vendor Management, Negotiation",145290,160438,"Business, Finance & Analytics"
Mid-level Observability Engineer,Brightwell Cloud Labs,"Austin, TX",Full-time,"Agile Methodology, Python, Go, PowerShell, Infrastructure as Code",80919,107567,DevOps & Infrastructure
Senior FP&A Analyst,Stonebridge Advisory Group,Remote,Full-time," Business Development , Excel Financial Modeling, SQL, Data-Driven Decision Making, Supply Chain Analysis",127281,138279,"Business, Finance & Analytics"
Principal Product Analyst,Ravenmoor Labs,"Seattle, WA",Part-time,"A/B Test Design, Competitive Analysis, OKRs, Kanban",158714,179339,Product
Junior Android Engineer,Granite Systems,"Raleigh, NC",Full-time,"Jetpack Compose, Android Studio, App Store Optimization, Continuous Integration",60701,69572,Software Engineering
Mid-level Machine Learning Engineer,Harborline Digital Analytics,Remote,Full-time,"PyTorch, MLOps, Docker",92546,106680,Data & Analytics
Supply Chain Analyst Intern,Summit Advisory Group,"Dallas, TX",Internship,"Risk Management, Cost-Benefit Analysis, Competitive Intelligence, Business Development, Budgeting & Forecasting",22651,29620,Business Operations
Senior Content Marketing,Brightpath Systems,Singapore,Full-time,"Content Strategy, Copywriting, Content Marketing, Presentation Skills",115799,124523,"Marketing, Sales & Growth"
Junior EHR Systems Analyst,Auralis Systems,"Seattle, WA",Full-time,"HL7, HIPAA Compliance, Telehealth Systems, Population Health Analytics, C#, MongoDB",73605,77621,Health Data & Bioinformatics
Mid-level Analytics Engineer,Windward Data Tech,Remote,Full-time,"data modeling, Business Intelligence, Looker, SQL, Python",97979,105627,Data & Analytics
Intern Interaction Designer,Driftwood UX Lab,"Berlin, Germany",Internship,"Accessibility (WCAG), Persona Development, Design Thinking, Prototyping, Communication",23063,37695,Design
Senior Associate Product Manager,Hollowreed Design,Remote,Full-time,"Stakeholder Management, Product Management, Competitive Analysis, Market Research, Business Analysis, Jira, Agile Methodology, Product Discovery",111591,152176,Product
Junior Medical Coding Data Specialist,Vertex Systems,"Sydney, Australia",Internship,"Cerner, Epic Systems, Data Analysis, Scikit-learn, Natural Language Processing, Confluence",74269,79047,Health Data & Bioinformatics
Help Desk Manager,Meridian Apps,"Bengaluru, India",Full-time,"Windows Server Administration, Documentation Best Practices, Network Monitoring",130715,180356,IT Support
  Manager CRM Manager  ,Pinnacle Networks,"Berlin, Germany",Full-time,"CUSTOMER RETENTION STRATEGY, Sales Forecasting, CRM Management, Salesforce, HubSpot, Marketing Automation",130602,148043,"Marketing, Sales & Growth"
Junior Operations Analyst,Glenridge Procurement Group,"Los Angeles, CA",Full-time,"Excel, Process Improvement, Excel Financial Modeling, Communication",59976,74329,Business Operations
Content Strategist,Quartzridge Analytics,Singapore,Full-time,"Content Strategy, Email Marketing, Content Marketing, Copywriting, Public Relations, Social Media Marketing",88850,106814,"Marketing, Sales & Growth"
Intern Backend Engineer,Tidefall Platforms,"Austin, TX",Internship,"Spring Boot, Go, Google Cloud Platform, GraphQL, Event-Driven Architecture, MySQL, Code Review Practices, Ruby on Rails",21728,37643,Software Engineering
Mid-level Computer Vision Engineer,Palisade Vector Group,Remote,Full-time,"Machine Learning, PyTorch, OpenCV, TensorFlow, Deep Learning",98074,116629,Data & Analytics
Senior Product Marketing Manager,Crestline Partners,Remote,Full-time,"Brand Strategy, Lead Generation, Public Relations, Agile Methodology",113194,136979,"Marketing, Sales & Growth"
Email Marketing Specialist,Northgate Cloud Labs,"San Francisco, CA",Internship,"Marketing Automation, Copywriting, Lead Generation, Email Marketing",21961,42000,"Marketing, Sales & Growth"
Junior Financial Analyst,Summit Solutions Group,"Atlanta, GA",Full-time,"SAP, Accounting Principles, Supply Chain Analysis, NetSuite, Pricing Strategy, P&L Management",63658,68624,"Business, Finance & Analytics"
Lead Cloud Operations Engineer,Cobalt Signal Works,"Boston, MA",Full-time,"Load Balancers (F5), Time Management, SD-WAN, Google Cloud Platform, Storage Area Networks",141570,171961,DevOps & Infrastructure
Senior Product Manager,Mistwood Labs,Remote,Full-time,"OKRs, Data-Driven Decision Making, Business Analysis, Feature Prioritization, Scrum, Stakeholder Management, Roadmap Planning",106685,147534,Product
Lead Marketing Automation Specialist,Timbergate Solutions,"Atlanta, GA",Full-time,"Email Marketing, CRM Management, HubSpot, Marketing Analytics, Lead Generation, Marketing Automation, Communication",138944,155344,"Marketing, Sales & Growth"
Mid-level Health Data Engineer,Redwood Health Analytics,Remote,Full-time,"TensorFlow, Machine Learning, Data Warehousing, Power BI, Microservices Architecture, Java, MySQL",93747,101707,Health Data & Bioinformatics
VP of Sales,Timbergate Solutions,"Miami, FL",Full-time,"Brand Strategy, CRM Management, Sales Forecasting, Marketing Analytics, Public Relations",146247,163461,"Marketing, Sales & Growth"
Analytics Engineering Manager,Nova Cloud Robotics Group,"Chicago, IL",Full-time,"dbt, Data Governance, Data Warehousing, Data Modeling",138389,170762,Data & Analytics
Senior iOS Developer,Silverline Technologies,Remote,Internship,"Objective-C for iOS, Mobile CI/CD, Cross-platform Development, Xcode, iOS Development, Android Studio, Cordova, In-app Purchases, Stakeholder Management",116525,147441,Software Engineering
Senior Full Stack Engineer,Redwood Platforms,"Los Angeles, CA",Full-time,"Django, Responsive Design, Go, Amazon Web Services, Progressive Web Apps, jQuery, Ruby on Rails, Microservices Architecture",100359,147875,Software Engineering
Senior Mobile Engineer,Palisade Platforms,"Raleigh, NC",Full-time,"Cross-platform Development, Mobile App Architecture, Distributed Systems, React Native, Mobile CI/CD, Dart",103335,146783,Software Engineering
Senior XR Software Engineer,Vertex Industries,Remote,Full-time,"Unity, C++, Virtual Reality Development, Communication",109649,135503,Software Engineering
Lead Backend Developer,Crestline Systems,"Amsterdam, Netherlands",Contract,"Kotlin, Ruby, Redis, Go, NestJS, Kubernetes, Django",141723,165386,Software Engineering
Lead NLP Engineer,Granite Pattern Systems,Remote,Full-time,"Python, Cross-functional Collaboration, Large Language Models, Hugging Face Transformers",153229,172976,Data & Analytics
Senior Android Developer,Redshift Ventures,"New York, NY",Part-time,"React Native, Mobile App Architecture, iOS Development, Jetpack Compose, In-app Purchases, Xcode, App Store Optimization, Kotlin Multiplatform",128408,147609,Software Engineering
Junior Cross-platform Mobile Engineer,Frostbyte Software,"Chicago, IL",Full-time,"Push Notifications, Objective-C for iOS, Cross-platform Development, Cordova",60680,71746,Software Engineering
Full Stack Engineer,Brightbay Platforms,"Bengaluru, India",Part-time,"Python, PostgreSQL, Responsive Design",77288,93712,Software Engineering
Lead Cybersecurity Analyst,Cobalt Robotics Group,"San Francisco, CA",Full-time,"ISO 27001, TCP/IP, Cryptography, VPN Configuration, Identity and Access Management, Microsoft Azure, HIPAA Compliance, Digital Forensics",128893,179402,Security
Lead Cybersecurity Engineer,Anchorpoint Systems,"Chicago, IL",Full-time,"ISO 27001, Secure Code Review, Linux Administration, Zero Trust Architecture",140432,187168,Security
Junior Associate Product Manager,Stonebridge Product Co,Remote,Internship,"Stakeholder Management, Feature Prioritization, Data-Driven Decision Making, Kanban, Competitive Analysis, Requirements Gathering, Roadmap Planning, Product Management",59478,76035,Product
Senior Security Analyst,Sentinel Ridge Security,"Vancouver, BC",Full-time,"Security Auditing, Threat Modeling, Microsoft Azure, SOC 2 Compliance, devsecops, Identity and Access Management, Git, TCP/IP",98323,152819,Security
Senior Backend Developer,Meridian Systems,"Boston, MA",Contract,"gRPC, Flask, ASP.NET, REST API Design, Python, Kotlin, Go",100463,148906,Software Engineering
Junior Digital Marketing Specialist,Clearwater Brands,Remote,Full-time,"Paid Search Advertising, Marketing Analytics, SEO, Paid Social Advertising, Digital Marketing",55047,70008,"Marketing, Sales & Growth"
Junior Email Marketing Specialist,Meridian Commerce,"Atlanta, GA",Internship,"Copywriting, CRM Management, Email Marketing, Public Speaking",30894,42000,"Marketing, Sales & Growth"
QA Manager,Netframe Solutions,"Vancouver, BC",Internship,"Jest, Regression Testing, API Testing, SQL, Jira",144527,192704,QA & Testing
Network Operations Manager,Steelwater Anchor Networks,Remote,Full-time,"GitHub Actions, Cross-functional Collaboration, GitLab, CloudFormation",140179,162193,DevOps & Infrastructure
Junior Procurement Manager,Juniper Ridge Partners,"Atlanta, GA",Full-time,"Risk Management, Cost-Benefit Analysis, Vendor Management, Procurement",56145,63623,Supply Chain
Principal Program Manager,Moorland Distribution,"Atlanta, GA",Full-time,"Communication, Vendor Coordination, Milestone Tracking, Trello, Monday.com, Agile Methodology, Portfolio Management, Microsoft Project",150420,173200,Project & Program Management
Junior NLP Engineer,Bluepeak Neural Works,"Bangalore, India",Contract,"Python, Natural Language Processing, Hugging Face Transformers, Deep Learning",72229,80224,Data & Analytics
Senior Bookkeeper,Summit Solutions Group,"Seattle, WA",Full-time,"Accounting Principles, QuickBooks, Excel Financial Modeling, Investment Analysis, Excel, Competitive Intelligence, Contract Negotiation, Budgeting & Forecasting",118505,132055,"Business, Finance & Analytics"
Brand Manager,Northgate Cloud Labs,"Amsterdam, Netherlands",Internship,"Public Relations, Brand Strategy, Marketing Analytics",23960,42000,"Marketing, Sales & Growth"
Mid-level NLP Engineer,Windward Vector Partners,"New York, NY",Part-time,"Natural Language Processing, Large Language Models, Python, Generative AI, Hugging Face Transformers",97997,113803,Data & Analytics
Senior Systems Administrator,Brightwell Circuit Works,"Bengaluru, India",Full-time,"PowerShell, Network Routing & Switching, Windows Server Administration, Cross-functional Collaboration, Site Reliability Engineering, Chef, CI/CD Pipelines",125074,154074,DevOps & Infrastructure
Senior Computer Vision Engineer,Ironwood Neural AI,"London, UK",Part-time,"PyTorch, Python, TensorFlow",128068,152955,Data & Analytics
Senior Software Engineer,Brightbay Systems,"Boston, MA",Full-time,"Cassandra, Sass, MongoDB",100460,145432,Software Engineering
Senior Full Stack Engineer,Wrenfield Systems,"Portland, OR",Contract,"Jest, Python, System Design",115719,135263,Software Engineering
Lead Platform Engineer,Windmere Data Solutions,Remote,Internship,"Time Management, Jenkins, Site Reliability Engineering, Continuous Deployment, Service Mesh (Istio)",147369,173221,DevOps & Infrastructure
Senior Influencer Marketing Manager,Vertex Analytics,"Seattle, WA",Contract,"Brand Strategy, Marketing Analytics, Social Media Marketing, Content Marketing, Influencer Marketing",112179,139170,"Marketing, Sales & Growth"
Junior Autonomous Systems Engineer,Copperfield Robotics,"San Francisco, CA",Internship,"Embedded C, Microcontroller Programming, PCB Design, RTOS (Real-Time Operating Systems), Sensor Integration, Robotics Programming",70141,84797,Software Engineering
Product Owner Manager,Ironvale Product,"New York, NY",Full-time,"Business Analysis, Product Management, Stakeholder Management, User Story Mapping, Agile Methodology, Data-Driven Decision Making, OKRs",129606,154947,Product
Senior Cloud Security Architect,Quietstone Security,"Dallas, TX",Full-time,"Digital Forensics, Endpoint Security, Secure Code Review, TCP/IP, Amazon Web Services (AWS), Vulnerability Assessment, Identity and Access Management, Python",117594,184306,Security
Interaction Designer,Kestrel Bay Design,"Amsterdam, Netherlands",Full-time,"Accessibility (WCAG), User Research, Adobe XD, Usability Testing, Responsive Design, InVision, Prototyping, Adobe Illustrator",84699,111189,Design
Principal Strategy & Operations Manager,Quarrystone Enterprises,"Bangalore, India",Internship,"Cross-team Coordination, Vendor Management, Cost-Benefit Analysis, KPI Development",139008,149657,Business Operations
Lead Health Analytics Manager,Beacon Health Analytics,Remote,Contract,"A/B Testing, SQL, Natural Language Processing, HIPAA Compliance, Healthcare Interoperability, Health Informatics, Confluence",138915,145360,Health Data & Bioinformatics
Mid-level Data Scientist,Silverlake Quantum Group,"Denver, CO",Full-time,"Python, Predictive Analytics, R, Technical Writing",93108,111372,Data & Analytics
Lead Product Manager,Fernwave Collective,"Chicago, IL",Internship,"A/B Test Design, Kanban, Product Discovery, Jira, Competitive Analysis, Product Management, User Story Mapping, Business Analysis",132436,157311,Product
Intern Category Manager,Windmere Consulting Group,Remote,Internship,"Budgeting & Forecasting, Time Management, NetSuite, Contract Negotiation, KPI Development, Risk Management, Excel",26946,43292,Supply Chain
Senior Mobile Developer (iOS),Northwind Platforms,Remote,Full-time,"Mobile Performance Optimization, Hexagonal Architecture, iOS Development, Swift, App Store Optimization, Push Notifications, Xcode",105780,135397,Software Engineering
Junior Procurement Manager,Ashgrove Consulting,"San Francisco, CA",Full-time,"Cost-Benefit Analysis, Vendor Management, Excel, Cross-functional Collaboration, Procurement, Budgeting & Forecasting",57746,67540,Supply Chain
Senior Brand Strategist,Driftwood Commerce,Remote,Contract,"Marketing Analytics, Public Relations, Content Strategy, Market Research, Brand Strategy, Agile Methodology",110621,143858,"Marketing, Sales & Growth"
Lead Operations Analyst,Harborline Ledger Co.,"Austin, TX",Full-time,"NetSuite, Excel, SQL",144820,158043,Business Operations
Principal Finance Manager,Brambleton Holdings,"New York, NY",Full-time,"Pricing Strategy, NetSuite, Vendor Management, Financial Analysis, Risk Management, Business Development, Procurement, Budgeting & Forecasting",161175,174291,"Business, Finance & Analytics"
Junior Software Developer,Windemere Foundry,"Sydney, Australia",Part-time,"MySQL, Storybook, TypeScript, Flask, Material UI, Redis",62609,73049,Software Engineering
Lead Healthcare Interoperability Engineer,Auralis Digital,"Seattle, WA",Full-time,"Telehealth Systems, FHIR Standards, MySQL, Kubernetes, Microservices Architecture",141885,155147,Health Data & Bioinformatics
Senior BI Developer,Onyx Solutions Group,Remote,Part-time,"Risk Management, P&L Management, Contract Negotiation, Financial Analysis, Tableau, Data-Driven Decision Making, SAP, Negotiation",106286,124996,Data & Analytics
Lead Auditor,Sterling Financial Partners,Remote,Part-time,"Cost-Benefit Analysis, Data-Driven Decision Making, NetSuite, P&L Management",162094,172877,"Business, Finance & Analytics"
Junior Associate Product Manager,Everline Studio,"Boston, MA",Full-time,"Feature Prioritization, Jira, Business Analysis, Product Discovery",59869,82938,Product
Senior Platform Engineer,Silverline Grid Works,"San Jose, CA",Full-time,"Continuous Integration, Bitbucket, Microsoft Azure, Git, Cost Optimization (FinOps)",125439,151113,DevOps & Infrastructure
Principal Product Manager,Sable Ridge Labs,"Bangalore, India",Full-time,"Business Analysis, Requirements Gathering, Jira, Market Research, OKRs, Product Management",151097,171037,Product
Principal Build & Release Engineer,Duskmere Cloud Platforms,"Austin, TX",Full-time,"Trunk-Based Development, Blue-Green Deployment, PowerShell, Argo CD, Agile Methodology, Multi-cloud Strategy",155885,179491,DevOps & Infrastructure
Technical Program Manager,Brightwave Supply Co,"Vancouver, BC",Full-time,"Trello, Kanban, PRINCE2, Gantt Chart Planning",82678,95884,Project & Program Management
Lead Inventory Analyst,Hollowbrook Ventures,"Boston, MA",Part-time,"Excel Financial Modeling, KPI Development, Cost-Benefit Analysis, NetSuite, Excel, Contract Negotiation",124493,133138,Supply Chain
QA Manager,Solstice Data Co,Remote,Full-time,"Quality Assurance, Mobile Testing, Jira",122200,179054,QA & Testing
Senior Full Stack Developer,Meridian Systems,"San Francisco, CA",Contract,"PostgreSQL, MySQL, Event-Driven Architecture, Jest, Cassandra, Spring Boot, C#",126103,146278,Software Engineering
Motion Control Engineer,Ledgerly Works,"Atlanta, GA",Internship,"PCB Design, Embedded C, Python",85374,107010,Software Engineering
Principal Security Engineer,Ticketforge Systems,"Washington, DC",Full-time,"SOC 2 Compliance, Security Auditing, Application Security",153866,206007,Security
Junior Portfolio Analyst,Thornwood Asset Management,"Denver, CO",Contract,"QuickBooks, Excel Financial Modeling, Financial Analysis, Accounting Principles, Vendor Management, Data-Driven Decision Making",65347,73985,"Business, Finance & Analytics"
Lead Analytics Engineer,Crestline Compute IT,"Los Angeles, CA",Part-time,"Data Modeling, Python, SQL, Data Warehousing",147444,167518,Data & Analytics
Operations Manager,Harborline Technologies,Remote,Full-time,"Git, NetSuite, Process Improvement, Business Analysis, P&L Management, QuickBooks, Data-Driven Decision Making",84425,93209,Business Operations
Director Revenue Operations Analyst,Kestrel Point Enterprises,Remote,Contract,"Business Analysis, QuickBooks, Vendor Management, SAP, Budgeting & Forecasting, KPI Development",152423,185043,Business Operations
Backend Engineer,Thistledown Platforms,"New York, NY",Part-time,"PostgreSQL, Flask, CI/CD Pipelines",79981,97513,Software Engineering
Financial Analyst Manager,Lakeshore Trust Group,Remote,Full-time,"Investment Analysis, Competitive Intelligence, QuickBooks, Agile Methodology, Business Development, Budgeting & Forecasting, NetSuite",121027,137553,"Business, Finance & Analytics"
Director of Operations,Hartsfield Supply Chain Partners,"Denver, CO",Internship,"NetSuite, Cost-Benefit Analysis, P&L Management, KPI Development, Stakeholder Management, Communication, SAP",148216,158268,Business Operations
Senior Healthcare Interoperability Engineer,Helio Genomics,Remote,Full-time,"HIPAA Security Rule, HL7, Electronic Health Records (EHR), HIPAA Compliance, Clinical Data Management, MongoDB, Agile Methodology",105138,144748,Health Data & Bioinformatics
React Native Developer,Slate Works,"London, UK",Internship,"Android Development, Mobile App Architecture, Dart, Jetpack Compose, Mobile Performance Optimization, In-app Purchases, Flutter",88261,113159,Software Engineering
Payroll Specialist Intern,Wrenfield & Associates,Remote,Internship,"Pricing Strategy, Contract Negotiation, Procurement, KPI Development, Budgeting & Forecasting, Vendor Management, Cost-Benefit Analysis",25803,31054,"Business, Finance & Analytics"
Junior Test Automation Engineer,Meshpoint Systems,"Dallas, TX",Full-time,"Postman, Appium, Continuous Testing, Test Automation, Load Testing (JMeter), Test Plan Development",54094,86192,QA & Testing
Junior Frontend Developer,Amber Robotics Group,"Boston, MA",Full-time,"Progressive Web Apps, Responsive Design, TypeScript, Webpack, jQuery, Sass, HTML, Cross-browser Compatibility",62988,73116,Software Engineering
Senior Bioinformatics Engineer,Windmere Cloud Labs,"Berlin, Germany",Full-time,"Data Visualization, Scikit-learn, Machine Learning, ETL Pipelines, R, MySQL, Confluence",137680,146820,Health Data & Bioinformatics
Junior Android Engineer,Cascadia Systems,Remote,Part-time,"Mobile App Architecture, Push Notifications, Android Studio, Mobile Performance Optimization, Mobile CI/CD",62745,78062,Software Engineering
Intern Data Scientist,Windward Vector Partners,Remote,Internship,"TensorFlow, Pandas, R, Data Analysis, PyTorch, Deep Learning, Critical Thinking",25823,37355,Data & Analytics
Embedded Software Engineer Intern,Vantage Interactive,"San Francisco, CA",Internship,"Microcontroller Programming, Firmware Development, RTOS (Real-Time Operating Systems), Raspberry Pi Development, VHDL, Embedded C, PCB Design",26692,39101,DevOps & Infrastructure
Crypto Backend Engineer,Frostbyte Studios,"Chicago, IL",Internship,"Solidity, Smart Contracts, Go, Hyperledger Fabric, Decentralized Finance (DeFi), NFT Platforms",90760,109387,Software Engineering
Senior Public Relations Specialist,Sterling Networks,"Austin, TX",Part-time,"Market Research, Social Media Marketing, Copywriting, Public Relations, Content Strategy",59265,67779,"Marketing, Sales & Growth"
Frontend Developer,Copperbend Platforms,"Atlanta, GA",Full-time,"Storybook, CSS, Cross-browser Compatibility, Tailwind CSS",78260,100138,Software Engineering
Director Fulfillment Operations Manager,Silverton Logistics,Remote,Part-time,"Contract Negotiation, Data Analysis, KPI Development, Time Management, SAP, Excel Financial Modeling, Cost-Benefit Analysis",145716,162345,Supply Chain
Mid-level Healthcare Interoperability Engineer,Aequus Cloud Labs,"San Francisco, CA",Full-time,"Electronic Health Records (EHR), HIPAA Security Rule, Healthcare Interoperability, HIPAA Compliance, Amazon Web Services, PostgreSQL, System Design, Project Management",101793,111633,Health Data & Bioinformatics
Manager Purchasing Coordinator,Yardley Logistics Co,"Austin, TX",Full-time,"NetSuite, Cost-Benefit Analysis, Contract Negotiation, Procurement, Vendor Management, Decision Making, Excel",131814,155351,Supply Chain
Junior Frontend Developer,Coral Platforms,"Chicago, IL",Contract,"Redux, Git, Jest",55446,79331,Software Engineering
Senior Health Analytics Manager,Onyx Diagnostics,Remote,Internship,"Natural Language Processing, Apache Spark, Health Informatics",109198,113981,Health Data & Bioinformatics
Senior Android Developer,Ledgerly Software,"Sydney, Australia",Contract,"Mobile App Architecture, Cordova, Xamarin, Mobile Testing",122189,146599,Software Engineering
Junior Content Strategist,Cobalt Partners,Remote,Full-time,"SEO, Email Marketing, Social Media Marketing, Public Relations, Copywriting, Content Strategy",64757,71106,"Marketing, Sales & Growth"
VP of Sales,Falconhurst Media Group,"San Francisco, CA",Full-time,"Public Relations, CRM Management, Sales Forecasting",149397,174633,"Marketing, Sales & Growth"
